,DOX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),,19.35,Valuation,
Price/Book (MRQ),3.03,19.03,Valuation,0.15922228060956384
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),,0.44520000000000004,Profitability,
Operating Profit Margin (TTM),,0.3027,Profitability,
Net Profit Margin (TTM),,0.23600000000000002,Profitability,
Annual Dividend Yield,0.0181,0.010400000000000001,Dividend,1.7403846153846154
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),,-3.5569,Gowth rates,
EPS Growth (TTM),,0.15560000000000002,Gowth rates,
Revenue Growth (MRQ),,0.16460000000000002,Gowth rates,
Revenue Growth (TTM),,0.2273,Gowth rates,
Return On Equity (TTM),,0.5459,Effectiveness,
Return On Assets (TTM),,0.1131,Effectiveness,
Return On Investment (TTM),,0.18910000000000002,Effectiveness,
Revenue Per Employee (TTM),,686074.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.1534,0.5613,Financial strength,0.2732941386068056
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0048,Financial strength,0.020833333333333336
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
