,DOX
% Below High,0.0369
% Held by Institutions,0.9575
52-Wk Range,['68.33 - 90.77']
Annual Dividend $,1.58
Annual Dividend %,0.0181
Ask,87.79
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.7
Bid,87.05
Bid Size,100.0
Closing Price,87.42
Day Change $,1.06
Day Change %,0.0123
Day High,87.47
Day Low,85.27
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.21
Last (size),333.0
Last (time),12:59p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,86.36
Short Interest,0.0146
Today's Open,86.41
Volume,325276.0
Volume 10-day Avg,548474.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.09622641509433949
Growth 1yr High Est,0.10754716981132084
Growth 1yr Consensus Est,0.10188679245283017
Growth 2yr Low Est,0.09372422303770334
Growth 2yr High Est,0.12873099546784095
Growth 2yr Consensus Est,0.11122760925277214
Growth 5yr Low Est,0.09624788243081844
Growth 5yr High Est,0.11250944667152019
Growth 5yr Consensus Est,0.10437866455116931
Growth 5yr Actual/Est,0.10046062852666626
Growth 3yr Historic,0.04630110880110877
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.03085
Price/Cash Flow (TTM),
5yr Low,44.05
5yr High,90.77
5yr Avg Return,0.05913333333333334
Short Int Current Month,1782242.0
Short Int Prev Month,1943031.0
Short Int Pct of Float,0.014617
Days to Cover,2.82077
Float,121.9419
Shares Outstanding,121.961
Institutions Holding Shares,634.0
FCF Growth 5yr,0.16788024078259856
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,0.0181
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.1534
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-07 00:00:00
cfra since,2015-07-30 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-05-18 00:00:00
