,AXTI
% Above Low,0.2902
% Held by Institutions,0.5646
52-Wk Range,['4.17 - 9.94']
Annual Dividend $,
Annual Dividend %,
Ask,5.81
Ask Size,1900.0
B/A Ratio,0.10526315789473684
B/A Size,200x1900
Beta,1.9
Bid,5.09
Bid Size,200.0
Closing Price,5.38
Day Change $,-0.09
Day Change %,-0.0165
Day High,5.48
Day Low,5.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.4
Ex-dividend Date,No dividend
Historical Volatility,0.609
Last (size),4.0
Last (time),12:59p ET 11/25/22
Market Cap,233.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.32
Prev Close,5.47
Short Interest,0.0167
Today's Open,5.48
Volume,69729.0
Volume 10-day Avg,173086.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.09090909090909083
Growth 1yr High Est,0.11428571428571432
Growth 1yr Consensus Est,0.10259740259740258
Growth 2yr Low Est,0.045454545454545414
Growth 2yr High Est,0.10842490842490837
Growth 2yr Consensus Est,0.0769397269397269
Growth 5yr Low Est,1.0164772727272726
Growth 5yr High Est,0.7982600732600733
Growth 5yr Consensus Est,0.907368672993673
Growth 5yr Actual/Est,0.5066148080853963
Growth 3yr Historic,0.4642857142857142
Price/Earnings (TTM),13.32178
Price/Sales (TTM),1.541
Price/Book (MRQ),1.08702
Price/Cash Flow (TTM),8.1513
5yr Low,1.85
5yr High,15.84
5yr Avg Return,0.009566666666666657
EPS Growth 5yr,0.1522137
Revenue Growth 5yr,0.11051
Dividend Growth 5yr,
Short Int Current Month,682210.0
Short Int Prev Month,905886.0
Short Int Pct of Float,0.0167378
Days to Cover,2.48781
Float,40.80181
Shares Outstanding,43.55338
Institutions Holding Shares,144.0
FCF Growth 5yr,0.3180716283284199
"Price/Earnings (TTM, GAAP)",13.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3661
Operating Profit Margin (TTM),0.1091
Net Profit Margin (TTM),0.1373
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0273
EPS Growth (TTM),0.2749
Revenue Growth (MRQ),-0.109
Revenue Growth (TTM),0.2002
Return On Equity (TTM),0.083
Return On Assets (TTM),0.0616
Return On Investment (TTM),0.0969
Revenue Per Employee (TTM),150848.0
Total Debt/Total Capital (MRQ),0.131
Change in Debt/Total Capital Quarter over Quarter,0.016399999999999998
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-10-20 00:00:00
