,FLNC
% Above Low,2.7419000000000002
% Held by Institutions,0.5013000000000001
52-Wk Range,['4.96 - 36.71']
Annual Dividend $,
Annual Dividend %,
Ask,18.7
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,
Bid,18.38
Bid Size,100.0
Closing Price,18.56
Day Change $,1.27
Day Change %,0.0735
Day High,18.76
Day Low,17.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.0
Ex-dividend Date,No dividend
Historical Volatility,0.9920000000000001
Last (size),199.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.29
Short Interest,0.06480000000000001
Today's Open,17.26
Volume,501501.0
Volume 10-day Avg,668937.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-12 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4378698224852071
Growth 2yr High Est,-0.6268656716417911
Growth 2yr Consensus Est,-0.5323677470634991
Growth 5yr Low Est,-0.4378698224852071
Growth 5yr High Est,-0.6268656716417911
Growth 5yr Consensus Est,-0.5323677470634991
Growth 5yr Actual/Est,0.298390542657741
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.39628
Price/Book (MRQ),6.9842
Price/Cash Flow (TTM),
5yr Low,4.96
5yr High,39.4
5yr Avg Return,-0.21085
Short Int Current Month,6174760.0
Short Int Prev Month,6327180.0
Short Int Pct of Float,0.0648094
Days to Cover,9.18863
Float,95.28992
Shares Outstanding,172.893
Institutions Holding Shares,178.0
FCF Growth 5yr,-0.365357453450664
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.0889
Operating Profit Margin (TTM),-0.34049999999999997
Net Profit Margin (TTM),-0.33890000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0184
EPS Growth (TTM),-133.0492
Revenue Growth (MRQ),-0.30260000000000004
Revenue Growth (TTM),0.2907
Return On Equity (TTM),-0.6311
Return On Assets (TTM),-0.2707
Return On Investment (TTM),-1.2773999999999999
Revenue Per Employee (TTM),2099613.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),-99.36
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
