,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,39.4,36.71,,,,,
low,27.48,4.96,,,,,
change,0.061500000000000006,-0.4832,,,,,
Date,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,37.0,632.0,652.0,677.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,56.0,126.0,93.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,192.0,194.0,247.0,244.0,Balance Sheet
Other Receivables,,,14.0,22.0,27.0,22.0,Balance Sheet
"Total Receivables, Net",,,206.0,216.0,274.0,266.0,Balance Sheet
Invent. - Finished Goods,,,389.0,440.0,346.0,447.0,Balance Sheet
Invent. - Raw Materials,,,1.0,2.0,6.0,7.0,Balance Sheet
Total Inventory,,,390.0,442.0,352.0,454.0,Balance Sheet
Prepaid Expenses,,,16.0,50.0,61.0,72.0,Balance Sheet
Restricted Cash - Current,,,1.0,40.0,71.0,75.0,Balance Sheet
Other Current Assets,,,12.0,2.0,6.0,7.0,Balance Sheet
"Other Curr. Assets, Total",,,13.0,42.0,77.0,82.0,Balance Sheet
Total Current Assets,,,662.0,1381.0,1416.0,1551.0,Balance Sheet
Prop./Plant/Equip. - Net,,,8.0,9.0,8.0,9.0,Balance Sheet
"Goodwill, Net",,,9.0,9.0,9.0,25.0,Balance Sheet
Intangibles - Gross,,,46.0,46.0,47.0,67.0,Balance Sheet
Accum. Intangible Amort.,,,-10.0,-11.0,-12.0,-14.0,Balance Sheet
Intangibles - Net,,,36.0,35.0,34.0,53.0,Balance Sheet
Deferred Charges,,,,,26.0,18.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,1.0,1.0,1.0,1.0,Balance Sheet
Restricted Cash - LT,,,,8.0,,10.0,Balance Sheet
Other Long Term Assets,,,2.0,39.0,5.0,5.0,Balance Sheet
Total Assets,,,718.0,1483.0,1501.0,1673.0,Balance Sheet
Accounts Payable,,,163.0,94.0,123.0,221.0,Balance Sheet
Accrued Expenses,,,202.0,242.0,237.0,158.0,Balance Sheet
Notes Payable/ST Debt,,,100.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,291.0,346.0,394.0,599.0,Balance Sheet
Income Taxes Payable,,,13.0,18.0,17.0,12.0,Balance Sheet
Other Current Liabilities,,,2.0,2.0,3.0,4.0,Balance Sheet
"Other Curr. Lblts, Total",,,306.0,366.0,415.0,615.0,Balance Sheet
Total Current Liabilities,,,771.0,702.0,775.0,994.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,100.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,526.0,484.0,212.0,Balance Sheet
"Other Liabilities, Total",,,2.0,2.0,1.0,7.0,Balance Sheet
Total Liabilities,,,774.0,1230.0,1259.0,1214.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,106.0,281.0,289.0,531.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-279.0,-29.0,-48.0,-67.0,Balance Sheet
Treasury Stock - Common,,,,,,-5.0,Balance Sheet
Cum. Trans. Adjustment,,,0.0,0.0,0.0,1.0,Balance Sheet
Other Equity,,,117.0,0.0,0.0,0.0,Balance Sheet
"Other Equity, Total",,,117.0,0.0,0.0,1.0,Balance Sheet
Total Equity,,,-56.0,253.0,241.0,459.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,718.0,1483.0,1501.0,1673.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,54.0,54.0,54.0,114.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,117.0,117.0,117.0,59.0,Balance Sheet
Ttl Comm. Shares Outs.,,,171.0,171.0,171.0,173.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,1.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,,Balance Sheet
Date,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Income Statement
Total Revenue,,,188205.0,174887.0,342724.0,239010.0,Income Statement
"Cost of Revenue, Total",,,247266.0,186836.0,354772.0,239907.0,Income Statement
Selling/Gen/Admin Expense,,,20745.0,24724.0,30973.0,33209.0,Income Statement
Labor & Related Expense,,,,19536.0,455.0,2523.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,20745.0,44260.0,31428.0,35732.0,Income Statement
Research & Development,,,6176.0,10758.0,13340.0,18129.0,Income Statement
Depreciation,,,1618.0,509.0,573.0,638.0,Income Statement
Amortiz of Intangibles,,,,918.0,920.0,1334.0,Income Statement
Depreciation/Amortization,,,1618.0,1427.0,1493.0,1972.0,Income Statement
"Inter Expense,Net Operatng",,,1435.0,682.0,676.0,573.0,Income Statement
Other Unusual Expnse (In),,,,41200.0,2700.0,4300.0,Income Statement
Unusual Expense (Income),,,,41200.0,2700.0,4300.0,Income Statement
"Other Operat Expse, Total",,,-791.0,826.0,-1109.0,205.0,Income Statement
Total Operating Expense,,,276449.0,285989.0,403300.0,300818.0,Income Statement
Total Operating Income,,,-88244.0,-111102.0,-60576.0,-61808.0,Income Statement
Income Before Tax,,,-88244.0,-111102.0,-60576.0,-61808.0,Income Statement
Income Tax - Total,,,-1045.0,358.0,128.0,-979.0,Income Statement
Income After Tax,,,-87199.0,-111460.0,-60704.0,-60829.0,Income Statement
Minority Interest,,,,82655.0,41519.0,41482.0,Income Statement
Net Inc Before Extra Items,,,-87199.0,-28805.0,-19185.0,-19347.0,Income Statement
Total Net Income,,,-87199.0,-28805.0,-19185.0,-19347.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-87199.0,-28805.0,-19185.0,-19347.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-87199.0,-28805.0,-19185.0,-19347.0,Income Statement
Basic/Primary Weighted Average Shares,,,49493.0,54143.0,54143.0,55626.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-1.76,-0.53,-0.35,-0.35,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-1.76,-0.53,-0.35,-0.35,Income Statement
Diluted Weighted Average Shares,,,49493.0,54143.0,54143.0,55626.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-1.76,-0.53,-0.35,-0.35,Income Statement
Diluted EPS Incl. Extra. Items,,,-1.76,-0.53,-0.35,-0.35,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,1435.0,682.0,676.0,573.0,Income Statement
"Depreciat/Amort, Suppl",,,543.0,509.0,573.0,638.0,Income Statement
Total Special Items,,,,41200.0,2700.0,4300.0,Income Statement
Normalzd Income Before Tax,,,-88244.0,-69902.0,-57876.0,-57508.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,14420.0,945.0,1505.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,-1045.0,14778.0,1073.0,526.0,Income Statement
Normalized Income After Tax,,,-87199.0,-84680.0,-58949.0,-58034.0,Income Statement
Normalzd Inc Avail to Common,,,-87199.0,-2025.0,-17430.0,-16552.0,Income Statement
Basic Normalized EPS,,,-1.76,-0.04,-0.32,-0.3,Income Statement
Diluted Normalized EPS,,,-1.76,-0.04,-0.32,-0.3,Income Statement
Date,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Cash Flow
Net Income,,,-162.0,-111.0,-172.0,-233.0,Cash Flow
Depreciation/Depletion,,,5.0,1.0,3.0,5.0,Cash Flow
Deferred Taxes,,,-1.0,,,0.0,Cash Flow
Non-Cash Items,,,41.0,34.0,22.0,43.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,0.0,1.0,1.0,Cash Flow
"Cash Interest Pd, Suppl",,,,1.0,1.0,,Cash Flow
Accounts Receivable,,,-1.0,-9.0,-63.0,-61.0,Cash Flow
