,FLNC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),3.4,12.92,Valuation,0.2631578947368421
Price/Book (MRQ),6.98,9.0,Valuation,0.7755555555555556
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),-0.0889,0.2968,Profitability,-0.29952830188679247
Operating Profit Margin (TTM),-0.34049999999999997,-0.5081,Profitability,0.6701436725054123
Net Profit Margin (TTM),-0.33890000000000003,-0.706,Profitability,0.4800283286118981
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),0.0184,0.5871000000000001,Gowth rates,0.03134048714018054
EPS Growth (TTM),-133.0492,-1.2397,Gowth rates,107.32370734855208
Revenue Growth (MRQ),-0.30260000000000004,0.28940000000000005,Gowth rates,-1.045611610228058
Revenue Growth (TTM),0.2907,0.22710000000000002,Gowth rates,1.2800528401585205
Return On Equity (TTM),-0.6311,0.10210000000000001,Effectiveness,-6.181194906953966
Return On Assets (TTM),-0.2707,0.0479,Effectiveness,-5.651356993736952
Return On Investment (TTM),-1.2773999999999999,0.0575,Effectiveness,-22.21565217391304
Revenue Per Employee (TTM),2099613.0,348568.0,Effectiveness,6.02353916595901
Total Debt/Total Capital (MRQ),0.0,0.3799,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0017000000000000001,Financial strength,
Quick Ratio (MRQ),1.1,1.37,Financial strength,0.8029197080291971
Interest Coverage (MRQ),-99.36,9.61,Financial strength,-10.339229968782519
