,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.41,21.15,,,,,
low,12.87,12.35,,,,,
change,-0.0762,0.1485,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,109352.0,93647.0,73002.0,56325.0,Balance Sheet
"Trade Accts Recvble, Gross",,,26971.0,28963.0,,,Balance Sheet
Prov. for Doubtful Accts,,,-1032.0,-1310.0,,,Balance Sheet
"Trade Accts Recvble, Net",,,25939.0,27653.0,32598.0,35960.0,Balance Sheet
Other Receivables,,,920.0,622.0,660.0,705.0,Balance Sheet
"Total Receivables, Net",,,26859.0,28275.0,33258.0,36665.0,Balance Sheet
Total Inventory,,,40241.0,43185.0,51700.0,54771.0,Balance Sheet
"Other Curr. Assets, Total",,,3078.0,3448.0,3129.0,1947.0,Balance Sheet
Total Current Assets,,,179530.0,168555.0,161089.0,149708.0,Balance Sheet
Prop./Plant/Equip. - Net,,,32181.0,51850.0,56066.0,58591.0,Balance Sheet
"Goodwill, Net",,,6329.0,26672.0,26975.0,26975.0,Balance Sheet
Intangibles - Gross,,,18240.0,23855.0,23934.0,24872.0,Balance Sheet
Accum. Intangible Amort.,,,-1735.0,-2505.0,-3582.0,-4022.0,Balance Sheet
Intangibles - Net,,,16505.0,21350.0,20352.0,20850.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,0.0,303.0,563.0,841.0,Balance Sheet
Total Assets,,,234545.0,268730.0,265045.0,256965.0,Balance Sheet
Accounts Payable,,,13028.0,11877.0,14564.0,13979.0,Balance Sheet
Accrued Expenses,,,18232.0,17827.0,21407.0,19507.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,153.0,781.0,757.0,735.0,Balance Sheet
Income Taxes Payable,,,615.0,492.0,305.0,497.0,Balance Sheet
Other Current Liabilities,,,1929.0,7433.0,6926.0,6889.0,Balance Sheet
"Other Curr. Lblts, Total",,,2544.0,7925.0,7231.0,7386.0,Balance Sheet
Total Current Liabilities,,,33957.0,38410.0,43959.0,41607.0,Balance Sheet
Total Long Term Debt,,,7476.0,42471.0,42519.0,42492.0,Balance Sheet
Total Debt,,,7629.0,43252.0,43276.0,43227.0,Balance Sheet
Deferred Income Tax,,,78.0,302.0,197.0,59.0,Balance Sheet
"Other Liabilities, Total",,,840.0,3045.0,1432.0,1434.0,Balance Sheet
Total Liabilities,,,42351.0,84228.0,88107.0,85592.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,,,,Balance Sheet
Common Stock,,,763.0,763.0,764.0,769.0,Balance Sheet
Additional Paid-In Capital,,,197868.0,199736.0,202367.0,207109.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-463.0,-9699.0,-19302.0,-29026.0,Balance Sheet
Treasury Stock - Common,,,-5982.0,-5982.0,-5982.0,-5982.0,Balance Sheet
"Other Equity, Total",,,8.0,-316.0,-909.0,-1497.0,Balance Sheet
Total Equity,,,192194.0,184502.0,176938.0,171373.0,Balance Sheet
