,FNA
% Below High,0.045899999999999996
% Held by Institutions,0.39
52-Wk Range,['12.35 - 21.15']
Annual Dividend $,
Annual Dividend %,
Ask,20.25
Ask Size,1600.0
B/A Ratio,0.125
B/A Size,200x1600
Beta,
Bid,8.08
Bid Size,200.0
Closing Price,20.18
Day Change $,0.29
Day Change %,0.0146
Day High,20.45
Day Low,19.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.43
Ex-dividend Date,No dividend
Historical Volatility,0.6809999999999999
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.89
Short Interest,0.0464
Today's Open,19.74
Volume,106532.0
Volume 10-day Avg,214972.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.20833333333333326
Growth 2yr High Est,-0.4883720930232558
Growth 2yr Consensus Est,-0.3483527131782945
Growth 5yr Low Est,-0.20833333333333326
Growth 5yr High Est,-0.4883720930232558
Growth 5yr Consensus Est,-0.3483527131782945
Growth 5yr Actual/Est,0.23363338788870697
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),9.01489
Price/Book (MRQ),9.07616
Price/Cash Flow (TTM),
5yr Low,12.35
5yr High,25.41
5yr Avg Return,0.036149999999999995
Short Int Current Month,1835575.0
Short Int Prev Month,2258320.0
Short Int Pct of Float,0.0463723
Days to Cover,8.64968
Float,38.51659
Shares Outstanding,77.1269
Institutions Holding Shares,110.0
FCF Growth 5yr,0.43350736907887316
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8220000000000001
Operating Profit Margin (TTM),-0.1795
Net Profit Margin (TTM),-0.20120000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0077
EPS Growth (TTM),-5.280399999999999
Revenue Growth (MRQ),0.0825
Revenue Growth (TTM),0.23550000000000001
Return On Equity (TTM),-0.3394
Return On Assets (TTM),-0.18350000000000002
Return On Investment (TTM),-0.2257
Revenue Per Employee (TTM),503353.0
Total Debt/Total Capital (MRQ),0.20140000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),2.28
Interest Coverage (MRQ),-7.77
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-16 00:00:00
researchTeam since,2022-11-16 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
