,RVLV
% Above Low,0.2536
% Held by Institutions,1.2775
52-Wk Range,['20.17 - 81.39']
Annual Dividend $,
Annual Dividend %,
Ask,25.3
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,25.26
Bid Size,200.0
Day Change $,-0.045
Day Change %,-0.0018
Day High,25.57
Day Low,24.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.07
Ex-dividend Date,No dividend
Historical Volatility,0.747
Last (size),100.0
Last (time),1:24p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",23.59
Prev Close,25.33
Price,25.29
Short Interest,0.278
Today's Open,24.99
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.11842105263157887
Growth 2yr High Est,0.41975308641975295
Growth 2yr Consensus Est,0.15066601689408704
Growth 5yr Low Est,-0.11842105263157887
Growth 5yr High Est,0.41975308641975295
Growth 5yr Consensus Est,0.15066601689408704
Growth 5yr Actual/Est,0.24341917481724776
Growth 3yr Historic,0.3190506329113924
Price/Earnings (TTM),23.59462
Price/Sales (TTM),1.7167
Price/Book (MRQ),5.05746
Price/Cash Flow (TTM),21.89315
5yr Low,7.17
5yr High,89.6
5yr Avg Return,0.164375
EPS Growth 5yr,1.0714
Revenue Growth 5yr,0.2335587
Dividend Growth 5yr,
Short Int Current Month,11252967.0
Short Int Prev Month,12626824.0
Short Int Pct of Float,0.27798449999999997
Days to Cover,5.42673
Float,40.48055
Shares Outstanding,73.33558
Institutions Holding Shares,275.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",23.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5457
Operating Profit Margin (TTM),0.0873
Net Profit Margin (TTM),0.0741
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2605
EPS Growth (TTM),-0.11710000000000001
Revenue Growth (MRQ),-0.0736
Revenue Growth (TTM),0.3657
Return On Equity (TTM),0.2466
Return On Assets (TTM),0.15480000000000002
Return On Investment (TTM),0.2393
Revenue Per Employee (TTM),1003774.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.58
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2020-08-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
