,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,48.36,32.96,89.6,63.92,,,,,
low,14.35,7.17,30.91,20.17,,,,,
change,-0.27030000000000004,0.6820999999999999,0.8019,-0.5562,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,218.0,271.0,238.0,244.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,5.0,11.0,8.0,7.0,Balance Sheet
Other Receivables,,,,,3.0,0.0,7.0,4.0,Balance Sheet
"Total Receivables, Net",,,,,8.0,12.0,15.0,11.0,Balance Sheet
Total Inventory,,,,,171.0,179.0,209.0,213.0,Balance Sheet
Prepaid Expenses,,,,,15.0,23.0,19.0,11.0,Balance Sheet
"Other Curr. Assets, Total",,,,,27.0,35.0,38.0,49.0,Balance Sheet
Total Current Assets,,,,,440.0,520.0,518.0,527.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,18.0,,21.0,22.0,Balance Sheet
Accumulated Depreciation,,,,,-9.0,,-12.0,-13.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,16.0,25.0,25.0,34.0,Balance Sheet
"Goodwill, Net",,,,,2.0,2.0,2.0,2.0,Balance Sheet
Intangibles - Net,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Long Term Assets,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,480.0,571.0,569.0,587.0,Balance Sheet
Accounts Payable,,,,,54.0,75.0,60.0,53.0,Balance Sheet
Accrued Expenses,,,,,38.0,44.0,47.0,50.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Income Taxes Payable,,,,,0.0,3.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,,68.0,95.0,93.0,95.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,68.0,98.0,93.0,96.0,Balance Sheet
Total Current Liabilities,,,,,160.0,217.0,200.0,199.0,Balance Sheet
