,SYNA
% Above Low,0.21420000000000003
% Held by Institutions,0.9554
52-Wk Range,['81.13 - 299.39']
Annual Dividend $,
Annual Dividend %,
Ask,98.7
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,98.49
Bid Size,100.0
Day Change $,-4.18
Day Change %,-0.0407
Day High,101.53
Day Low,98.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.93
Ex-dividend Date,No dividend
Historical Volatility,0.638
Last (size),100.0
Last (time),3:53p ET 11/28/22
Market Cap,3.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.83
Prev Close,102.69
Price,98.51
Short Interest,0.0622
Today's Open,100.47
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3307984790874524
Growth 1yr High Est,-0.20870206489675514
Growth 1yr Consensus Est,-0.2697502719921038
Growth 2yr Low Est,-0.1653992395437262
Growth 2yr High Est,-0.046569112597492246
Growth 2yr Consensus Est,-0.10598417607060923
Growth 5yr Low Est,0.17311896245232808
Growth 5yr High Est,0.20082265206996344
Growth 5yr Consensus Est,0.18697080726114576
Growth 5yr Actual/Est,0.20146179796919572
Growth 3yr Historic,0.2568651189289275
Price/Earnings (TTM),14.82612
Price/Sales (TTM),2.25572
Price/Book (MRQ),3.0987
Price/Cash Flow (TTM),9.33079
5yr Low,26.34
5yr High,299.39
5yr Avg Return,0.41546666666666665
EPS Growth 5yr,0.3578205
Revenue Growth 5yr,0.0024901999999999997
Dividend Growth 5yr,
Short Int Current Month,2453297.0
Short Int Prev Month,2554703.0
Short Int Pct of Float,0.06221790000000001
Days to Cover,3.63539
Float,39.46382
Shares Outstanding,39.87097
Institutions Holding Shares,409.0
FCF Growth 5yr,0.09493868987548282
"Price/Earnings (TTM, GAAP)",14.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5513
Operating Profit Margin (TTM),0.2214
Net Profit Margin (TTM),0.1542
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2208
EPS Growth (TTM),1.1858
Revenue Growth (MRQ),-0.05940000000000001
Revenue Growth (TTM),0.3116
Return On Equity (TTM),0.24230000000000002
Return On Assets (TTM),0.12150000000000001
Return On Investment (TTM),0.1421
Revenue Per Employee (TTM),1022592.0
Total Debt/Total Capital (MRQ),0.4253
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999
Quick Ratio (MRQ),3.37
Interest Coverage (MRQ),13.49
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-17 00:00:00
theStreet since,2022-10-17 00:00:00
cfra since,2022-02-04 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
