,2017,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,22.4,34.63,30.73,16.98,20.48,19.38,,,,,
low,19.72,18.01,13.88,2.6,7.09,11.24,,,,,
change,0.0589,0.14300000000000002,-0.35200000000000004,-0.5292,0.8383,0.0788,,,,,
Date,,,,,,,2021-10-30 00:00:00,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,83.0,73.0,55.0,51.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,56.0,31.0,54.0,34.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,54.0,30.0,53.0,33.0,Balance Sheet
Other Receivables,,,,,,,177.0,170.0,169.0,172.0,Balance Sheet
"Total Receivables, Net",,,,,,,231.0,200.0,222.0,205.0,Balance Sheet
Total Inventory,,,,,,,602.0,586.0,672.0,694.0,Balance Sheet
Prepaid Expenses,,,,,,,52.0,54.0,48.0,50.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Current Assets,,,,,,,970.0,914.0,999.0,1001.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,928.0,904.0,885.0,888.0,Balance Sheet
"Goodwill, Gross",,,,,,,158.0,157.0,,,Balance Sheet
Accum. Goodwill Amort.,,,,,,,-64.0,-63.0,,,Balance Sheet
"Goodwill, Net",,,,,,,94.0,94.0,94.0,94.0,Balance Sheet
Intangibles - Gross,,,,,,,17.0,17.0,,,Balance Sheet
Accum. Intangible Amort.,,,,,,,-1.0,-1.0,,,Balance Sheet
Intangibles - Net,,,,,,,16.0,16.0,20.0,20.0,Balance Sheet
Long Term Investments,,,,,,,57.0,56.0,55.0,62.0,Balance Sheet
Other Long Term Assets,,,,,,,29.0,32.0,34.0,37.0,Balance Sheet
Total Assets,,,,,,,2094.0,2015.0,2088.0,2102.0,Balance Sheet
Accounts Payable,,,,,,,401.0,341.0,369.0,338.0,Balance Sheet
Accrued Expenses,,,,,,,357.0,374.0,339.0,356.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,63.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,17.0,16.0,16.0,17.0,Balance Sheet
Income Taxes Payable,,,,,,,44.0,28.0,33.0,30.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,60.0,44.0,49.0,47.0,Balance Sheet
Total Current Liabilities,,,,,,,881.0,759.0,757.0,740.0,Balance Sheet
Total Long Term Debt,,,,,,,165.0,226.0,307.0,387.0,Balance Sheet
Total Debt,,,,,,,228.0,226.0,307.0,387.0,Balance Sheet
"Other Liabilities, Total",,,,,,,654.0,618.0,607.0,614.0,Balance Sheet
Total Liabilities,,,,,,,1700.0,1602.0,1671.0,1741.0,Balance Sheet
Common Stock,,,,,,,1000.0,1005.0,1006.0,1010.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-89.0,-74.0,-48.0,-2.0,Balance Sheet
Treasury Stock - Common,,,,,,,-515.0,-515.0,-538.0,-644.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,,-4.0,,,Balance Sheet
Other Comprehensive Income,,,,,,,-3.0,,-4.0,-4.0,Balance Sheet
"Other Equity, Total",,,,,,,-3.0,-4.0,-4.0,-4.0,Balance Sheet
Total Equity,,,,,,,394.0,412.0,417.0,361.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2094.0,2015.0,2088.0,2102.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,,66.0,66.0,64.0,57.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,73.0,73.0,72.0,65.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,22.0,22.0,24.0,32.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-10-30 00:00:00,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Income Statement
Total Revenue,,,,,,,853.0,823.0,831.0,859.0,Income Statement
"Cost of Revenue, Total",,,,,,,540.0,568.0,555.0,564.0,Income Statement
"Inter/Invest Inc, Operating",,,,,,,-3.0,-2.0,-2.0,-2.0,Income Statement
Restructuring Charge,,,,,,,0.0,1.0,1.0,0.0,Income Statement
Impair-Assets Held for Use,,,,,,,0.0,1.0,1.0,2.0,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,0.0,13.0,0.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,1.0,15.0,2.0,Income Statement
"Other Operat Expse, Total",,,,,,,212.0,233.0,223.0,228.0,Income Statement
Total Operating Expense,,,,,,,749.0,800.0,790.0,792.0,Income Statement
Total Operating Income,,,,,,,104.0,22.0,40.0,68.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,-8.0,-8.0,-3.0,-3.0,Income Statement
"Other, Net",,,,,,,0.0,-1.0,0.0,0.0,Income Statement
