,DBI
% Below High,0.20850000000000002
% Held by Institutions,0.9146
52-Wk Range,['11.24 - 19.38']
Annual Dividend $,0.2
Annual Dividend %,0.013000000000000001
Ask,16.48
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,14.0
Bid Size,200.0
Closing Price,15.34
Day Change $,-0.15
Day Change %,-0.0097
Day High,15.65
Day Low,15.31
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",2.19
Ex-dividend,2022-12-12 00:00:00
Ex-dividend Date,12/12/22
Historical Volatility,0.5770000000000001
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,985.3M
"P/E Ratio (TTM, GAAP)",7.0
Prev Close,15.49
Short Interest,0.16649999999999998
Today's Open,15.49
Volume,551744.0
Volume 10-day Avg,1300800.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.10778443113772473
Growth 1yr High Est,0.2102272727272727
Growth 1yr Consensus Est,0.15900585193249872
Growth 2yr Low Est,0.040378702055348825
Growth 2yr High Est,0.18257842509603073
Growth 2yr Consensus Est,0.11147856357568978
Growth 5yr Low Est,-1.2692335706833828
Growth 5yr High Est,-1.1075963245728158
Growth 5yr Consensus Est,-1.1884149476280994
Growth 5yr Actual/Est,-1.1764659897730199
Growth 3yr Historic,-1.2462292609351433
Price/Earnings (TTM),7.00134
Price/Sales (TTM),0.29274
Price/Book (MRQ),2.74273
Price/Cash Flow (TTM),3.96036
5yr Low,2.6
5yr High,34.63
5yr Avg Return,0.03963333333333332
EPS Growth 5yr,0.0570695
Revenue Growth 5yr,0.032946300000000005
Dividend Growth 5yr,
Short Int Current Month,7906972.0
Short Int Prev Month,7345263.0
Short Int Pct of Float,0.16652909999999999
Days to Cover,7.37479
Float,47.67758
Shares Outstanding,64.23366
Institutions Holding Shares,284.0
FCF Growth 5yr,-0.7005206782846233
"Price/Earnings (TTM, GAAP)",7.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3385
Operating Profit Margin (TTM),0.0697
Net Profit Margin (TTM),0.0496
Annual Dividend Yield,0.013000000000000001
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8362999999999999
EPS Growth (TTM),2.3363
Revenue Growth (MRQ),0.0346
Revenue Growth (TTM),0.2096
Return On Equity (TTM),0.4969
Return On Assets (TTM),0.0825
Return On Investment (TTM),0.1318
Revenue Per Employee (TTM),249330.0
Total Debt/Total Capital (MRQ),0.5177
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),212.24
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-11-19 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-11-19 00:00:00
marketEdge opinion since,
