,TNC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.49,24.01,Valuation,0.9783423573511035
Price/Sales (TTM),1.09,3.06,Valuation,0.3562091503267974
Price/Book (MRQ),2.77,7.44,Valuation,0.37231182795698925
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.3778,0.32799999999999996,Profitability,1.1518292682926832
Operating Profit Margin (TTM),0.0667,0.0198,Profitability,3.368686868686868
Net Profit Margin (TTM),0.0468,-0.0086,Profitability,-5.441860465116279
Annual Dividend Yield,0.0168,0.0143,Dividend,1.1748251748251748
Dividend Change %,0.0562,0.1666,Dividend,0.33733493397358943
"Dividend Growth Rate, 3 Years",0.034100000000000005,0.0885,Dividend,0.3853107344632769
EPS Growth (MRQ),-0.060599999999999994,0.3518,Gowth rates,-0.17225696418419556
EPS Growth (TTM),-0.1471,0.16149999999999998,Gowth rates,-0.9108359133126936
Revenue Growth (MRQ),-0.0617,0.196,Gowth rates,-0.31479591836734694
Revenue Growth (TTM),-0.009000000000000001,0.1475,Gowth rates,-0.06101694915254238
Return On Equity (TTM),0.11630000000000001,0.2859,Effectiveness,0.40678558936691156
Return On Assets (TTM),0.048600000000000004,0.0851,Effectiveness,0.5710928319623972
Return On Investment (TTM),0.0651,0.12490000000000001,Effectiveness,0.5212169735788631
Revenue Per Employee (TTM),252780.0,343373.0,Effectiveness,0.7361673748372761
Total Debt/Total Capital (MRQ),0.39770000000000005,0.6352000000000001,Financial strength,0.6261020151133501
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.0189,Financial strength,0.058201058201058205
Quick Ratio (MRQ),1.32,1.07,Financial strength,1.233644859813084
Interest Coverage (MRQ),9.95,20.9,Financial strength,0.47607655502392343
