,GXO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.71,13.38,Valuation,1.8467862481315396
Price/Sales (TTM),0.59,1.22,Valuation,0.48360655737704916
Price/Book (MRQ),2.03,7.06,Valuation,0.2875354107648725
"PEG Ratio (TTM, GAAP)",2.32,0.26,Valuation,8.923076923076922
Gross Profit Margin (TTM),0.167,0.6511,Profitability,0.2564890185839349
Operating Profit Margin (TTM),0.0263,0.1135,Profitability,0.2317180616740088
Net Profit Margin (TTM),0.024,0.0883,Profitability,0.2718006795016987
Annual Dividend Yield,,0.027999999999999997,Dividend,
Dividend Change %,,0.0452,Dividend,
"Dividend Growth Rate, 3 Years",,0.0426,Dividend,
EPS Growth (MRQ),0.2102,0.0582,Gowth rates,3.611683848797251
EPS Growth (TTM),0.6397,0.5186999999999999,Gowth rates,1.2332754964333914
Revenue Growth (MRQ),0.0608,0.04730000000000001,Gowth rates,1.2854122621564479
Revenue Growth (TTM),0.18050000000000002,17.6805,Gowth rates,0.010208987302395296
Return On Equity (TTM),0.0851,0.5842,Effectiveness,0.14566929133858267
Return On Assets (TTM),0.0265,0.1412,Effectiveness,0.18767705382436262
Return On Investment (TTM),0.037200000000000004,0.1973,Effectiveness,0.18854536239229602
Revenue Per Employee (TTM),117173.0,391503.0,Effectiveness,0.29929017146739617
Total Debt/Total Capital (MRQ),0.4201,0.47490000000000004,Financial strength,0.8846072857443671
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999,-0.0008,Financial strength,-7.124999999999999
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),12.0,15.24,Financial strength,0.7874015748031495
