,GXO
% Above Low,0.36700000000000005
% Held by Institutions,0.9061
52-Wk Range,['32.10 - 102.57']
Annual Dividend $,
Annual Dividend %,
Ask,48.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,33.99
Bid Size,100.0
Closing Price,43.88
Day Change $,-0.01
Day Change %,-0.0002
Day High,44.07
Day Low,43.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.78
Ex-dividend Date,No dividend
Historical Volatility,0.5529999999999999
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",24.71
Prev Close,43.89
Short Interest,0.0407
Today's Open,43.75
Volume,234259.0
Volume 10-day Avg,1040339.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.11111111111111116
Growth 2yr High Est,0.09154929577464799
Growth 2yr Consensus Est,-0.009780907668231587
Growth 5yr Low Est,-0.11111111111111116
Growth 5yr High Est,0.09154929577464799
Growth 5yr Consensus Est,-0.009780907668231587
Growth 5yr Actual/Est,0.1392137218662015
Growth 3yr Historic,0.0
Price/Earnings (TTM),24.70637
Price/Sales (TTM),0.59238
Price/Book (MRQ),2.02625
Price/Cash Flow (TTM),9.84096
5yr Low,32.1
5yr High,105.92
5yr Avg Return,0.17745
Short Int Current Month,4750850.0
Short Int Prev Month,3803863.0
Short Int Pct of Float,0.0407203
Days to Cover,2.76098
Float,117.971
Shares Outstanding,118.6387
Institutions Holding Shares,532.0
FCF Growth 5yr,-1.279940838309985
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",24.71
"PEG Ratio (TTM, GAAP)",2.32
Gross Profit Margin (TTM),0.167
Operating Profit Margin (TTM),0.0263
Net Profit Margin (TTM),0.024
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2102
EPS Growth (TTM),0.6397
Revenue Growth (MRQ),0.0608
Revenue Growth (TTM),0.18050000000000002
Return On Equity (TTM),0.0851
Return On Assets (TTM),0.0265
Return On Investment (TTM),0.037200000000000004
Revenue Per Employee (TTM),117173.0
Total Debt/Total Capital (MRQ),0.4201
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.0
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-10 00:00:00
researchTeam since,2022-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-01-07 00:00:00
cfra since,
marketEdge opinion since,
