,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,105.92,92.04,,,,,
low,48.38,32.1,,,,,
change,0.8728,-0.5179,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,333.0,312.0,384.0,434.0,Balance Sheet
"Trade Accts Recvble, Gross",,,1520.0,1505.0,1573.0,1516.0,Balance Sheet
Prov. for Doubtful Accts,,,-13.0,-13.0,-13.0,-9.0,Balance Sheet
"Total Receivables, Net",,,1507.0,1492.0,1560.0,1507.0,Balance Sheet
"Other Curr. Assets, Total",,,259.0,226.0,312.0,301.0,Balance Sheet
Total Current Assets,,,2099.0,2030.0,2256.0,2242.0,Balance Sheet
Other Prop./Plant/Equip.,,,1991.0,1978.0,2077.0,2110.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,1991.0,1978.0,2077.0,2110.0,Balance Sheet
Accumulated Depreciation,,,-1128.0,-1145.0,-1172.0,-1196.0,Balance Sheet
Prop./Plant/Equip. - Net,,,2635.0,2604.0,2805.0,2972.0,Balance Sheet
"Goodwill, Net",,,2017.0,1986.0,2769.0,2603.0,Balance Sheet
Intangibles - Gross,,,664.0,653.0,970.0,994.0,Balance Sheet
Accum. Intangible Amort.,,,-407.0,-414.0,-413.0,-418.0,Balance Sheet
Intangibles - Net,,,257.0,239.0,557.0,576.0,Balance Sheet
Note Rcvble - Long Term,,,147.0,,,177.0,Balance Sheet
Other Long Term Assets,,,116.0,267.0,319.0,236.0,Balance Sheet
Total Assets,,,7271.0,7126.0,8706.0,8806.0,Balance Sheet
Accounts Payable,,,624.0,549.0,592.0,568.0,Balance Sheet
Accrued Expenses,,,1451.0,1395.0,1502.0,1451.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,34.0,32.0,84.0,94.0,Balance Sheet
"Other Curr. Lblts, Total",,,220.0,146.0,186.0,162.0,Balance Sheet
Total Current Liabilities,,,2329.0,2122.0,2364.0,2275.0,Balance Sheet
Long Term Debt,,,794.0,793.0,1691.0,1691.0,Balance Sheet
Capital Lease Obligations,,,133.0,114.0,110.0,98.0,Balance Sheet
Total Long Term Debt,,,927.0,907.0,1801.0,1789.0,Balance Sheet
Total Debt,,,961.0,939.0,1885.0,1883.0,Balance Sheet
Minority Interest,,,39.0,34.0,31.0,30.0,Balance Sheet
"Other Liabilities, Total",,,1625.0,1722.0,1980.0,2143.0,Balance Sheet
Total Liabilities,,,4920.0,4785.0,6176.0,6237.0,Balance Sheet
