,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,49.96,66.36,66.85,51.12,,,,,
low,34.96,21.79,46.5,31.32,,,,,
change,0.1478,0.3749,-0.2274,-0.27340000000000003,,,,,
Date,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,109.0,136.0,138.0,146.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,475.0,457.0,404.0,427.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-9.0,-9.0,-9.0,-9.0,Balance Sheet
"Total Receivables, Net",,,,,466.0,448.0,395.0,418.0,Balance Sheet
Prepaid Expenses,,,,,72.0,66.0,61.0,61.0,Balance Sheet
Restricted Cash - Current,,,,,53.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,,,,70.0,81.0,94.0,78.0,Balance Sheet
"Other Curr. Assets, Total",,,,,123.0,81.0,94.0,78.0,Balance Sheet
Total Current Assets,,,,,770.0,732.0,687.0,702.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,2133.0,2248.0,2289.0,2384.0,Balance Sheet
Accumulated Depreciation,,,,,-770.0,-840.0,-839.0,-869.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,1363.0,1407.0,1450.0,1514.0,Balance Sheet
"Goodwill, Net",,,,,798.0,791.0,769.0,749.0,Balance Sheet
Intangibles - Gross,,,,,747.0,775.0,767.0,775.0,Balance Sheet
Accum. Intangible Amort.,,,,,-550.0,-580.0,-578.0,-590.0,Balance Sheet
Intangibles - Net,,,,,198.0,195.0,189.0,185.0,Balance Sheet
Other Long Term Assets,,,,,27.0,31.0,31.0,31.0,Balance Sheet
Total Assets,,,,,3154.0,3156.0,3126.0,3181.0,Balance Sheet
Accounts Payable,,,,,164.0,130.0,191.0,196.0,Balance Sheet
Accrued Expenses,,,,,263.0,205.0,188.0,193.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,181.0,145.0,24.0,33.0,Balance Sheet
Total Current Liabilities,,,,,608.0,481.0,404.0,421.0,Balance Sheet
Total Long Term Debt,,,,,1121.0,1113.0,1106.0,1098.0,Balance Sheet
Total Debt,,,,,1302.0,1259.0,1130.0,1131.0,Balance Sheet
Deferred Income Tax,,,,,75.0,74.0,71.0,70.0,Balance Sheet
"Other Liabilities, Total",,,,,1017.0,1092.0,1107.0,1128.0,Balance Sheet
Total Liabilities,,,,,2821.0,2760.0,2687.0,2718.0,Balance Sheet
Common Stock,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,19.0,15.0,19.0,22.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,362.0,444.0,526.0,577.0,Balance Sheet
Treasury Stock - Common,,,,,-34.0,-42.0,-61.0,-61.0,Balance Sheet
"Other Equity, Total",,,,,-14.0,-22.0,-46.0,-75.0,Balance Sheet
Total Equity,,,,,334.0,396.0,439.0,464.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,3154.0,3156.0,3126.0,3181.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,134.0,134.0,134.0,134.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Date,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Income Statement
Total Revenue,,,,,548.0,558.0,520.0,498.0,Income Statement
"Cost of Revenue, Total",,,,,360.0,356.0,338.0,337.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,55.0,54.0,48.0,51.0,Income Statement
Depreciation/Amortization,,,,,25.0,26.0,27.0,25.0,Income Statement
Unusual Expense (Income),,,,,0.0,,,,Income Statement
Total Operating Expense,,,,,440.0,437.0,412.0,414.0,Income Statement
Total Operating Income,,,,,108.0,121.0,108.0,84.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-12.0,-11.0,-12.0,-13.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-1.0,-2.0,-4.0,-3.0,Income Statement
"Other, Net",,,,,-1.0,-2.0,-4.0,-3.0,Income Statement
Income Before Tax,,,,,96.0,108.0,93.0,68.0,Income Statement
Income Tax - Total,,,,,22.0,27.0,10.0,17.0,Income Statement
Income After Tax,,,,,73.0,82.0,83.0,50.0,Income Statement
Net Inc Before Extra Items,,,,,73.0,82.0,83.0,50.0,Income Statement
Total Net Income,,,,,73.0,82.0,83.0,50.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,73.0,82.0,83.0,50.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,73.0,82.0,83.0,50.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,134.0,134.0,134.0,134.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.55,0.61,0.62,0.38,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.55,0.61,0.62,0.38,Income Statement
Diluted Weighted Average Shares,,,,,135.0,135.0,134.0,134.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.54,0.61,0.62,0.38,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.54,0.61,0.62,0.38,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,12.0,11.0,12.0,13.0,Income Statement
"Depreciat/Amort, Suppl",,,,,25.0,26.0,27.0,25.0,Income Statement
Total Special Items,,,,,0.0,,,,Income Statement
Normalzd Income Before Tax,,,,,96.0,108.0,93.0,68.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,22.0,27.0,10.0,17.0,Income Statement
Normalized Income After Tax,,,,,73.0,82.0,83.0,50.0,Income Statement
Normalzd Inc Avail to Common,,,,,73.0,82.0,83.0,50.0,Income Statement
Basic Normalized EPS,,,,,0.55,0.61,0.62,0.38,Income Statement
Diluted Normalized EPS,,,,,0.54,0.61,0.62,0.38,Income Statement
Date,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Cash Flow
Net Income,,,,,294400.0,81500.0,164200.0,214500.0,Cash Flow
