,IAA
% Above Low,0.1814
% Held by Institutions,1.0656
52-Wk Range,['31.32 - 52.20']
Annual Dividend $,
Annual Dividend %,
Ask,38.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,31.5
Bid Size,100.0
Closing Price,37.0
Day Change $,-0.71
Day Change %,-0.018799999999999997
Day High,37.77
Day Low,36.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.14
Ex-dividend Date,No dividend
Historical Volatility,0.452
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",17.29
Prev Close,37.71
Short Interest,0.026600000000000002
Today's Open,37.51
Volume,945838.0
Volume 10-day Avg,1987123.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06779661016949146
Growth 1yr High Est,-0.08097165991902844
Growth 1yr Consensus Est,-0.07438413504425995
Growth 2yr Low Est,-0.09753466872110944
Growth 2yr High Est,0.021188178851058392
Growth 2yr Consensus Est,-0.038173244935025524
Growth 5yr Low Est,0.09661605946884633
Growth 5yr High Est,0.14966441601338737
Growth 5yr Consensus Est,0.12314023774111686
Growth 5yr Actual/Est,0.12284853450489247
Growth 3yr Historic,0.12711744776962167
Price/Earnings (TTM),17.28552
Price/Sales (TTM),2.33072
Price/Book (MRQ),10.6717
Price/Cash Flow (TTM),12.66775
5yr Low,21.79
5yr High,66.85
5yr Avg Return,0.005475000000000012
EPS Growth 5yr,0.2506188
Revenue Growth 5yr,0.10846059999999999
Dividend Growth 5yr,
Short Int Current Month,3538544.0
Short Int Prev Month,3243276.0
Short Int Pct of Float,0.0265866
Days to Cover,1.07547
Float,133.1005
Shares Outstanding,133.7646
Institutions Holding Shares,395.0
FCF Growth 5yr,0.2868507463294694
"Price/Earnings (TTM, GAAP)",17.29
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3446
Operating Profit Margin (TTM),0.1981
Net Profit Margin (TTM),0.1355
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.39130000000000004
EPS Growth (TTM),0.015600000000000001
Revenue Growth (MRQ),-0.0438
Revenue Growth (TTM),0.26940000000000003
Return On Equity (TTM),0.7583
Return On Assets (TTM),0.096
Return On Investment (TTM),0.1099
Revenue Per Employee (TTM),477620.0
Total Debt/Total Capital (MRQ),0.7091
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.32
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-06-15 00:00:00
researchTeam since,2022-06-15 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-09-10 00:00:00
cfra since,
marketEdge opinion since,
