,IAA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.29,49.74,Valuation,0.34760755930840365
Price/Sales (TTM),2.33,4.84,Valuation,0.48140495867768596
Price/Book (MRQ),10.67,8.39,Valuation,1.2717520858164482
"PEG Ratio (TTM, GAAP)",,29.79,Valuation,
Gross Profit Margin (TTM),0.3446,0.3996,Profitability,0.8623623623623624
Operating Profit Margin (TTM),0.1981,-0.0013000000000000002,Profitability,-152.38461538461536
Net Profit Margin (TTM),0.1355,-0.084,Profitability,-1.6130952380952381
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),-0.39130000000000004,0.2796,Gowth rates,-1.3994992846924177
EPS Growth (TTM),0.015600000000000001,0.0167,Gowth rates,0.9341317365269461
Revenue Growth (MRQ),-0.0438,6.5277,Gowth rates,-0.006709867181396203
Revenue Growth (TTM),0.26940000000000003,0.4153,Gowth rates,0.6486876956417048
Return On Equity (TTM),0.7583,0.24,Effectiveness,3.1595833333333334
Return On Assets (TTM),0.096,0.08750000000000001,Effectiveness,1.097142857142857
Return On Investment (TTM),0.1099,0.1107,Effectiveness,0.9927732610659439
Revenue Per Employee (TTM),477620.0,300402.0,Effectiveness,1.5899361522226882
Total Debt/Total Capital (MRQ),0.7091,0.44520000000000004,Financial strength,1.592767295597484
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0070999999999999995,Financial strength,-0.16901408450704225
Quick Ratio (MRQ),,1.36,Financial strength,
Interest Coverage (MRQ),6.32,18.66,Financial strength,0.3386923901393355
