,SNDR
% Below High,0.08070000000000001
% Held by Institutions,0.5143
52-Wk Range,['20.26 - 27.50']
Annual Dividend $,0.32
Annual Dividend %,0.0125
Ask,25.28
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.0
Bid,25.28
Bid Size,300.0
Day Change $,-0.34
Day Change %,-0.013300000000000001
Day High,25.75
Day Low,25.27
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",2.7
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.309
Last (size),100.0
Last (time),2:45p ET 11/28/22
Market Cap,4.5B
"P/E Ratio (TTM, GAAP)",9.5
Prev Close,25.62
Price,25.28
Short Interest,0.079
Today's Open,25.43
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,1.1583333333333332
Growth 1yr High Est,1.1721311475409837
Growth 1yr Consensus Est,1.1652322404371585
Growth 2yr Low Est,0.4363095238095238
Growth 2yr High Est,0.56719764924219
Growth 2yr Consensus Est,0.5017535865258569
Growth 5yr Low Est,0.21009024577572966
Growth 5yr High Est,0.2682142092364796
Growth 5yr Consensus Est,0.2391522275061046
Growth 5yr Actual/Est,0.20951001382203205
Growth 3yr Historic,0.21001612903225808
Price/Earnings (TTM),9.50202
Price/Sales (TTM),0.68918
Price/Book (MRQ),1.66574
Price/Cash Flow (TTM),5.59043
5yr Low,15.36
5yr High,30.52
5yr Avg Return,0.020799999999999996
EPS Growth 5yr,0.2028894
Revenue Growth 5yr,0.0675124
Dividend Growth 5yr,
Short Int Current Month,4175855.0
Short Int Prev Month,4309966.0
Short Int Pct of Float,0.07897789999999999
Days to Cover,6.79813
Float,52.87377
Shares Outstanding,178.0123
Institutions Holding Shares,339.0
FCF Growth 5yr,0.9323170731707319
"Price/Earnings (TTM, GAAP)",9.5
"PEG Ratio (TTM, GAAP)",1.79
Gross Profit Margin (TTM),0.5449
Operating Profit Margin (TTM),0.096
Net Profit Margin (TTM),0.0728
Annual Dividend Yield,0.0125
Dividend Change %,0.07690000000000001
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.0319
EPS Growth (TTM),0.3774
Revenue Growth (MRQ),-0.040999999999999995
Revenue Growth (TTM),0.2488
Return On Equity (TTM),0.1913
Return On Assets (TTM),0.11789999999999999
Return On Investment (TTM),0.1433
Revenue Per Employee (TTM),412305.0
Total Debt/Total Capital (MRQ),0.0721
Change in Debt/Total Capital Quarter over Quarter,-0.0038
Quick Ratio (MRQ),1.86
Interest Coverage (MRQ),103.93
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-07 00:00:00
theStreet since,2021-08-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
