,VLD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,24.01,Valuation,
Price/Sales (TTM),6.32,3.06,Valuation,2.065359477124183
Price/Book (MRQ),3.44,7.44,Valuation,0.46236559139784944
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.045899999999999996,0.32799999999999996,Profitability,0.13993902439024392
Operating Profit Margin (TTM),-1.6525,0.0198,Profitability,-83.45959595959596
Net Profit Margin (TTM),-0.4401,-0.0086,Profitability,51.17441860465116
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),-1.6408000000000003,0.3518,Gowth rates,-4.664013644115975
EPS Growth (TTM),0.1812,0.16149999999999998,Gowth rates,1.121981424148607
Revenue Growth (MRQ),-0.0269,0.196,Gowth rates,-0.13724489795918368
Revenue Growth (TTM),1.5824,0.1475,Gowth rates,10.72813559322034
Return On Equity (TTM),-0.2299,0.2859,Effectiveness,-0.8041273172437915
Return On Assets (TTM),-0.0893,0.0851,Effectiveness,-1.0493537015276146
Return On Investment (TTM),-0.1143,0.12490000000000001,Effectiveness,-0.9151321056845475
Revenue Per Employee (TTM),318067.0,343373.0,Effectiveness,0.9263017185393144
Total Debt/Total Capital (MRQ),0.053,0.6352000000000001,Financial strength,0.08343828715365238
Change in Debt/Total Capital Quarter over Quarter,-0.006999999999999999,0.0189,Financial strength,-0.37037037037037035
Quick Ratio (MRQ),2.28,1.07,Financial strength,2.130841121495327
Interest Coverage (MRQ),-4.15,20.9,Financial strength,-0.19856459330143544
