,VLD
% Above Low,0.5313
% Held by Institutions,0.6511
52-Wk Range,['1.28 - 11.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.0
Ask Size,900.0
B/A Ratio,1.1111111111111112
B/A Size,1000x900
Beta,
Bid,1.95
Bid Size,1000.0
Closing Price,1.96
Day Change $,-0.12
Day Change %,-0.057699999999999994
Day High,2.12
Day Low,1.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.37
Ex-dividend Date,No dividend
Historical Volatility,1.16
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,365.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.08
Short Interest,0.0526
Today's Open,2.05
Volume,1782974.0
Volume 10-day Avg,1672969.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.20833333333333326
Growth 2yr High Est,-0.23913043478260876
Growth 2yr Consensus Est,-0.223731884057971
Growth 5yr Low Est,-0.20833333333333326
Growth 5yr High Est,-0.23913043478260876
Growth 5yr Consensus Est,-0.223731884057971
Growth 5yr Actual/Est,-0.4228064005626868
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),6.3165
Price/Book (MRQ),3.43527
Price/Cash Flow (TTM),
5yr Low,1.28
5yr High,13.18
5yr Avg Return,-0.5205
Short Int Current Month,8318873.0
Short Int Prev Month,8554427.0
Short Int Pct of Float,0.052552
Days to Cover,4.47758
Float,158.4248
Shares Outstanding,186.4188
Institutions Holding Shares,115.0
FCF Growth 5yr,0.3559229216764234
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.045899999999999996
Operating Profit Margin (TTM),-1.6525
Net Profit Margin (TTM),-0.4401
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6408000000000003
EPS Growth (TTM),0.1812
Revenue Growth (MRQ),-0.0269
Revenue Growth (TTM),1.5824
Return On Equity (TTM),-0.2299
Return On Assets (TTM),-0.0893
Return On Investment (TTM),-0.1143
Revenue Per Employee (TTM),318067.0
Total Debt/Total Capital (MRQ),0.053
Change in Debt/Total Capital Quarter over Quarter,-0.006999999999999999
Quick Ratio (MRQ),2.28
Interest Coverage (MRQ),-4.15
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-09 00:00:00
theStreet since,2022-11-09 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
