,VLDR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,21.62,Valuation,
Price/Sales (TTM),5.4,5.43,Valuation,0.9944751381215471
Price/Book (MRQ),1.1,5.49,Valuation,0.20036429872495448
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),-0.5475,0.33659999999999995,Profitability,-1.626559714795009
Operating Profit Margin (TTM),-3.8654,-0.0824,Profitability,46.91019417475728
Net Profit Margin (TTM),-3.8434,-0.1173,Profitability,32.76555839727195
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.1258,0.1058,Gowth rates,1.1890359168241964
EPS Growth (TTM),0.44670000000000004,-0.0147,Gowth rates,-30.38775510204082
Revenue Growth (MRQ),-0.16219999999999998,0.1655,Gowth rates,-0.9800604229607249
Revenue Growth (TTM),-0.27890000000000004,0.1855,Gowth rates,-1.5035040431266848
Return On Equity (TTM),-0.635,0.23850000000000002,Effectiveness,-2.6624737945492662
Return On Assets (TTM),-0.5015,0.0752,Effectiveness,-6.668882978723404
Return On Investment (TTM),-0.5763,0.1041,Effectiveness,-5.536023054755043
Revenue Per Employee (TTM),110246.0,449465.0,Effectiveness,0.24528272501752083
Total Debt/Total Capital (MRQ),0.0,0.3575,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0362,Financial strength,
Quick Ratio (MRQ),5.26,1.53,Financial strength,3.437908496732026
Interest Coverage (MRQ),,15.46,Financial strength,
