,VLDR
% Above Low,0.41850000000000004
% Held by Institutions,0.266
52-Wk Range,['0.712 - 5.72']
Annual Dividend $,
Annual Dividend %,
Ask,1.0
Ask Size,300.0
B/A Ratio,24.333333333333332
B/A Size,7300x300
Beta,1.2
Bid,0.99
Bid Size,7300.0
Closing Price,1.01
Day Change $,-0.01
Day Change %,-0.0098
Day High,1.05
Day Low,1.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.86
Ex-dividend Date,No dividend
Historical Volatility,0.9359999999999999
Last (size),300.0
Last (time),3:59p ET 11/28/22
Market Cap,242.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.02
Short Interest,0.038
Today's Open,1.0
Volume,1484144.0
Volume 10-day Avg,2965063.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.014285714285714346
Growth 1yr High Est,-0.059701492537313494
Growth 1yr Consensus Est,-0.03699360341151392
Growth 2yr Low Est,-0.10859213250517596
Growth 2yr High Est,-0.26000947642738687
Growth 2yr Consensus Est,-0.18430080446628141
Growth 5yr Low Est,-0.10859213250517596
Growth 5yr High Est,-0.26000947642738687
Growth 5yr Consensus Est,-0.18430080446628141
Growth 5yr Actual/Est,0.07198448317851303
Growth 3yr Historic,0.17424242424242423
Price/Earnings (TTM),
Price/Sales (TTM),5.40098
Price/Book (MRQ),1.1011
Price/Cash Flow (TTM),
5yr Low,0.712
5yr High,32.5
5yr Avg Return,-0.05530000000000001
Short Int Current Month,7223576.0
Short Int Prev Month,8867529.0
Short Int Pct of Float,0.0379895
Days to Cover,1.2028
Float,188.9499
Shares Outstanding,237.5904
Institutions Holding Shares,176.0
FCF Growth 5yr,0.20451641763419234
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.5475
Operating Profit Margin (TTM),-3.8654
Net Profit Margin (TTM),-3.8434
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1258
EPS Growth (TTM),0.44670000000000004
Revenue Growth (MRQ),-0.16219999999999998
Revenue Growth (TTM),-0.27890000000000004
Return On Equity (TTM),-0.635
Return On Assets (TTM),-0.5015
Return On Investment (TTM),-0.5763
Revenue Per Employee (TTM),110246.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),5.26
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2021-11-08 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
