,HAIN
% Above Low,0.3552
% Held by Institutions,0.9847
52-Wk Range,['15.23 - 43.53']
Annual Dividend $,
Annual Dividend %,
Ask,20.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,19.7
Bid Size,100.0
Closing Price,20.64
Day Change $,0.27
Day Change %,0.013300000000000001
Day High,20.65
Day Low,20.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.71
Ex-dividend Date,No dividend
Historical Volatility,0.44200000000000006
Last (size),36.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.25
Prev Close,20.37
Short Interest,0.040999999999999995
Today's Open,20.5
Volume,392291.0
Volume 10-day Avg,806149.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.6666666666666667
Growth 1yr High Est,-0.45945945945945943
Growth 1yr Consensus Est,-0.5630630630630631
Growth 2yr Low Est,0.14539007092198586
Growth 2yr High Est,0.051520270270270285
Growth 2yr Consensus Est,0.09845517059612807
Growth 5yr Low Est,0.09692671394799057
Growth 5yr High Est,0.03434684684684686
Growth 5yr Consensus Est,0.06563678039741871
Growth 5yr Actual/Est,0.15888027624843049
Growth 3yr Historic,0.10740968801313633
Price/Earnings (TTM),29.24756
Price/Sales (TTM),0.98251
Price/Book (MRQ),1.7702
Price/Cash Flow (TTM),15.87702
5yr Low,14.45
5yr High,48.88
5yr Avg Return,0.021916666666666664
EPS Growth 5yr,0.0582068
Revenue Growth 5yr,-0.0419205
Dividend Growth 5yr,
Short Int Current Month,3612618.0
Short Int Prev Month,3562207.0
Short Int Pct of Float,0.0410013
Days to Cover,2.97854
Float,88.20349
Shares Outstanding,89.31364
Institutions Holding Shares,367.0
FCF Growth 5yr,-0.3530428077799108
"Price/Earnings (TTM, GAAP)",29.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.22190000000000001
Operating Profit Margin (TTM),0.0506
Net Profit Margin (TTM),0.0363
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.284
EPS Growth (TTM),-0.2634
Revenue Growth (MRQ),-0.0386
Revenue Growth (TTM),-0.026099999999999998
Return On Equity (TTM),0.0547
Return On Assets (TTM),0.029900000000000003
Return On Investment (TTM),0.034
Revenue Per Employee (TTM),609565.0
Total Debt/Total Capital (MRQ),0.4633
Change in Debt/Total Capital Quarter over Quarter,0.013000000000000001
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),3.42
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-06-03 00:00:00
researchTeam since,2022-10-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-05-07 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
