,SFIX
% Above Low,0.2761
% Held by Institutions,0.8758
52-Wk Range,['3.09 - 28.24']
Annual Dividend $,
Annual Dividend %,
Ask,3.95
Ask Size,1800.0
B/A Ratio,1.2222222222222223
B/A Size,2200x1800
Beta,1.9
Bid,3.94
Bid Size,2200.0
Day Change $,-0.217
Day Change %,-0.052199999999999996
Day High,4.21
Day Low,3.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.9
Ex-dividend Date,No dividend
Historical Volatility,1.023
Last (size),500.0
Last (time),2:01p ET 11/28/22
Market Cap,436.0M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.16
Price,3.94
Short Interest,0.17079999999999998
Today's Open,4.09
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.19780219780219777
Growth 1yr High Est,-0.14383561643835618
Growth 1yr Consensus Est,0.02698329068192079
Growth 2yr Low Est,0.007157979635043832
Growth 2yr High Est,-0.2719178082191781
Growth 2yr Consensus Est,-0.13237991429206714
Growth 5yr Low Est,0.007157979635043832
Growth 5yr High Est,-0.2719178082191781
Growth 5yr Consensus Est,-0.13237991429206714
Growth 5yr Actual/Est,4.679563866752276
Growth 3yr Historic,4.71780303030303
Price/Earnings (TTM),
Price/Sales (TTM),0.22238
Price/Book (MRQ),1.43879
Price/Cash Flow (TTM),
5yr Low,3.09
5yr High,113.76
5yr Avg Return,0.025233333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1623066
Dividend Growth 5yr,
Short Int Current Month,13797108.0
Short Int Prev Month,16348879.0
Short Int Pct of Float,0.1708071
Days to Cover,5.06488
Float,80.77695
Shares Outstanding,110.8081
Institutions Holding Shares,254.0
FCF Growth 5yr,-0.49801216712266316
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4386
Operating Profit Margin (TTM),-0.10039999999999999
Net Profit Margin (TTM),-0.0999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2348
EPS Growth (TTM),-9.6743
Revenue Growth (MRQ),-0.022400000000000003
Revenue Growth (TTM),-0.013500000000000002
Return On Equity (TTM),-0.5287
Return On Assets (TTM),-0.2616
Return On Investment (TTM),-0.3909
Revenue Per Employee (TTM),261719.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2021-12-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
