,SFIX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),0.22,7.6,Valuation,0.02894736842105263
Price/Book (MRQ),1.44,10.0,Valuation,0.144
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.4386,0.4335,Profitability,1.011764705882353
Operating Profit Margin (TTM),-0.10039999999999999,0.0117,Profitability,-8.581196581196581
Net Profit Margin (TTM),-0.0999,-0.0141,Profitability,7.085106382978724
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-0.2348,-0.26239999999999997,Gowth rates,0.8948170731707319
EPS Growth (TTM),-9.6743,-0.6279,Gowth rates,15.407389711737538
Revenue Growth (MRQ),-0.022400000000000003,0.1585,Gowth rates,-0.1413249211356467
Revenue Growth (TTM),-0.013500000000000002,0.12369999999999999,Gowth rates,-0.10913500404203721
Return On Equity (TTM),-0.5287,0.0635,Effectiveness,-8.325984251968503
Return On Assets (TTM),-0.2616,-0.1317,Effectiveness,1.9863325740318905
Return On Investment (TTM),-0.3909,0.0197,Effectiveness,-19.842639593908633
Revenue Per Employee (TTM),261719.0,354479.0,Effectiveness,0.7383201825778114
Total Debt/Total Capital (MRQ),0.0,0.39840000000000003,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.4575,Financial strength,
Quick Ratio (MRQ),0.95,0.68,Financial strength,1.3970588235294117
Interest Coverage (MRQ),,-0.6,Financial strength,
