,QLYS
% Above Low,0.1489
% Held by Institutions,0.9553
52-Wk Range,['107.69 - 162.36']
Annual Dividend $,
Annual Dividend %,
Ask,123.97
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,123.85
Bid Size,100.0
Day Change $,-1.58
Day Change %,-0.0126
Day High,125.78
Day Low,123.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.56
Ex-dividend Date,No dividend
Historical Volatility,0.499
Last (size),100.0
Last (time),12:05p ET 11/28/22
Market Cap,4.7B
"P/E Ratio (TTM, GAAP)",49.03
Prev Close,125.31
Price,123.73
Short Interest,0.0647
Today's Open,124.37
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.139240506329114
Growth 1yr High Est,0.12923076923076926
Growth 1yr Consensus Est,0.13423563777994163
Growth 2yr Low Est,0.08212025316455696
Growth 2yr High Est,0.1518088451058478
Growth 2yr Consensus Est,0.11696454913520238
Growth 5yr Low Est,0.1349197757050855
Growth 5yr High Est,0.16181994646290981
Growth 5yr Consensus Est,0.14836986108399766
Growth 5yr Actual/Est,0.14917975225894203
Growth 3yr Historic,0.08842771904113894
Price/Earnings (TTM),49.03177
Price/Sales (TTM),10.15734
Price/Book (MRQ),13.45019
Price/Cash Flow (TTM),34.89788
5yr Low,55.05
5yr High,162.36
5yr Avg Return,0.13998333333333332
EPS Growth 5yr,0.286951
Revenue Growth 5yr,0.15745620000000002
Dividend Growth 5yr,
Short Int Current Month,2216590.0
Short Int Prev Month,2506507.0
Short Int Pct of Float,0.064745
Days to Cover,3.90224
Float,34.25653
Shares Outstanding,37.98803
Institutions Holding Shares,529.0
FCF Growth 5yr,0.07731515957866308
"Price/Earnings (TTM, GAAP)",49.03
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7893000000000001
Operating Profit Margin (TTM),0.2751
Net Profit Margin (TTM),0.2165
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0524
EPS Growth (TTM),0.40770000000000006
Revenue Growth (MRQ),0.04730000000000001
Revenue Growth (TTM),0.1829
Return On Equity (TTM),0.2677
Return On Assets (TTM),0.135
Return On Investment (TTM),0.2293
Revenue Per Employee (TTM),257078.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2016-08-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
