,FUL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.02,20.13,Valuation,1.19324391455539
Price/Sales (TTM),1.15,3.27,Valuation,0.3516819571865443
Price/Book (MRQ),2.69,5.58,Valuation,0.482078853046595
"PEG Ratio (TTM, GAAP)",1.46,0.12,Valuation,12.166666666666666
Gross Profit Margin (TTM),0.2593,0.3453,Profitability,0.750941210541558
Operating Profit Margin (TTM),0.08259999999999999,0.0535,Profitability,1.5439252336448597
Net Profit Margin (TTM),0.048,0.0204,Profitability,2.3529411764705883
Annual Dividend Yield,0.0095,0.0188,Dividend,0.5053191489361701
Dividend Change %,0.027000000000000003,0.102,Dividend,0.26470588235294124
"Dividend Growth Rate, 3 Years",0.026400000000000003,0.06910000000000001,Dividend,0.38205499276411
EPS Growth (MRQ),-0.0159,-0.6111,Gowth rates,0.026018654884634267
EPS Growth (TTM),0.1809,1.725,Gowth rates,0.1048695652173913
Revenue Growth (MRQ),-0.0524,0.212,Gowth rates,-0.24716981132075475
Revenue Growth (TTM),0.1679,0.23420000000000002,Gowth rates,0.7169086251067462
Return On Equity (TTM),0.11630000000000001,0.2206,Effectiveness,0.5271985494106982
Return On Assets (TTM),0.0401,0.06420000000000001,Effectiveness,0.6246105919003114
Return On Investment (TTM),0.048,0.08410000000000001,Effectiveness,0.5707491082045184
Revenue Per Employee (TTM),567445.0,817013.0,Effectiveness,0.6945360722534403
Total Debt/Total Capital (MRQ),0.5485,0.4105,Financial strength,1.336175395858709
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.001,Financial strength,0.7000000000000001
Quick Ratio (MRQ),1.18,1.18,Financial strength,1.0
Interest Coverage (MRQ),3.67,26.2,Financial strength,0.14007633587786258
