,FUL
% Below High,0.0248
% Held by Institutions,0.9898
52-Wk Range,['57.36 - 81.73']
Annual Dividend $,0.76
Annual Dividend %,0.0095
Ask,80.22
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,79.7
Day Change $,0.31
Day Change %,0.0039000000000000003
Day High,79.83
Day Low,78.99
Dividend Pay Date,2022-11-03 00:00:00
"EPS (TTM, GAAP)",3.32
Ex-dividend,2022-10-19 00:00:00
Ex-dividend Date,10/19/22
Historical Volatility,0.313
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.02
Prev Close,79.39
Short Interest,0.0223
Today's Open,79.24
Volume,108909.0
Volume 10-day Avg,298794.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.20408163265306123
Growth 1yr High Est,0.21690140845070438
Growth 1yr Consensus Est,0.2104915205518828
Growth 2yr Low Est,0.12867519889311652
Growth 2yr High Est,0.17905255607720394
Growth 2yr Consensus Est,0.15386387748516023
Growth 5yr Low Est,0.1040335453925042
Growth 5yr High Est,0.1334004502240324
Growth 5yr Consensus Est,0.1187169978082683
Growth 5yr Actual/Est,0.1235773499583992
Growth 3yr Historic,0.045322611343738106
Price/Earnings (TTM),24.02469
Price/Sales (TTM),1.152
Price/Book (MRQ),2.69181
Price/Cash Flow (TTM),13.1914
5yr Low,23.68
5yr High,81.73
5yr Avg Return,0.08103333333333333
EPS Growth 5yr,0.046005399999999995
Revenue Growth 5yr,0.09371
Dividend Growth 5yr,0.038704
Short Int Current Month,1179617.0
Short Int Prev Month,1380167.0
Short Int Pct of Float,0.0222581
Days to Cover,3.33487
Float,53.0295
Shares Outstanding,53.31294
Institutions Holding Shares,338.0
FCF Growth 5yr,-0.5859733759356552
"Price/Earnings (TTM, GAAP)",24.02
"PEG Ratio (TTM, GAAP)",1.46
Gross Profit Margin (TTM),0.2593
Operating Profit Margin (TTM),0.08259999999999999
Net Profit Margin (TTM),0.048
Annual Dividend Yield,0.0095
Dividend Change %,0.027000000000000003
"Dividend Growth Rate, 3 Years",0.026400000000000003
EPS Growth (MRQ),-0.0159
EPS Growth (TTM),0.1809
Revenue Growth (MRQ),-0.0524
Revenue Growth (TTM),0.1679
Return On Equity (TTM),0.11630000000000001
Return On Assets (TTM),0.0401
Return On Investment (TTM),0.048
Revenue Per Employee (TTM),567445.0
Total Debt/Total Capital (MRQ),0.5485
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),3.67
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-08-06 00:00:00
researchTeam since,2022-09-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
