,CSV
% Above Low,0.0661
% Held by Institutions,0.7362000000000001
52-Wk Range,['22.71 - 66.33']
Annual Dividend $,0.45
Annual Dividend %,0.018600000000000002
Ask,25.3
Ask Size,900.0
B/A Ratio,0.6666666666666666
B/A Size,600x900
Beta,0.8
Bid,22.12
Bid Size,600.0
Closing Price,24.21
Day Change $,0.07
Day Change %,0.0029
Day High,24.64
Day Low,23.91
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.81
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.524
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,356.2M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.61
Prev Close,24.14
Short Interest,0.023399999999999997
Today's Open,24.02
Volume,51102.0
Volume 10-day Avg,75163.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.18092105263157887
Growth 1yr High Est,-0.16666666666666674
Growth 1yr Consensus Est,-0.1737938596491228
Growth 2yr Low Est,-0.11656494398647221
Growth 2yr High Est,-0.03431372549019607
Growth 2yr Consensus Est,-0.07543933473833414
Growth 5yr Low Est,0.17133218293622163
Growth 5yr High Est,0.20423041011276308
Growth 5yr Consensus Est,0.18778129652449235
Growth 5yr Actual/Est,0.2444597579543104
Growth 3yr Historic,0.2779139784946236
Price/Earnings (TTM),8.60638
Price/Sales (TTM),0.95716
Price/Book (MRQ),2.76303
Price/Cash Flow (TTM),5.38518
5yr Low,13.54
5yr High,66.33
5yr Avg Return,0.1570333333333333
EPS Growth 5yr,0.10176840000000001
Revenue Growth 5yr,0.0865529
Dividend Growth 5yr,0.2242399
Short Int Current Month,295285.0
Short Int Prev Month,371830.0
Short Int Pct of Float,0.0233585
Days to Cover,1.99792
Float,13.06493
Shares Outstanding,14.71481
Institutions Holding Shares,185.0
FCF Growth 5yr,0.2671132726359993
"Price/Earnings (TTM, GAAP)",8.61
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32280000000000003
Operating Profit Margin (TTM),0.2327
Net Profit Margin (TTM),0.125
Annual Dividend Yield,0.018600000000000002
Dividend Change %,0.22219999999999998
"Dividend Growth Rate, 3 Years",0.11199999999999999
EPS Growth (MRQ),-0.45630000000000004
EPS Growth (TTM),0.8388
Revenue Growth (MRQ),-0.0342
Revenue Growth (TTM),0.0058
Return On Equity (TTM),0.2891
Return On Assets (TTM),0.0402
Return On Investment (TTM),0.042300000000000004
Revenue Per Employee (TTM),326768.0
Total Debt/Total Capital (MRQ),0.8167
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),2.49
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-02-25 00:00:00
ford since,2022-02-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-17 00:00:00
