,ZG
% Above Low,0.3272
% Held by Institutions,0.8398
52-Wk Range,['26.21 - 65.16']
Annual Dividend $,
Annual Dividend %,
Ask,35.07
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,33.7
Bid Size,100.0
Closing Price,34.79
Day Change $,-0.03
Day Change %,-0.0009
Day High,35.83
Day Low,34.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.1
Ex-dividend Date,No dividend
Historical Volatility,0.665
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,8.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,34.82
Short Interest,0.0562
Today's Open,34.53
Volume,532104.0
Volume 10-day Avg,646622.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6307692307692307
Growth 2yr High Est,0.28749999999999987
Growth 2yr Consensus Est,-0.17163461538461544
Growth 5yr Low Est,-0.6307692307692307
Growth 5yr High Est,0.28749999999999987
Growth 5yr Consensus Est,-0.17163461538461544
Growth 5yr Actual/Est,-2.0587865008457715
Growth 3yr Historic,-0.9707491582491583
Price/Earnings (TTM),
Price/Sales (TTM),1.54646
Price/Book (MRQ),1.8012
Price/Cash Flow (TTM),
5yr Low,18.65
5yr High,212.4
5yr Avg Return,0.20373333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.5727838
Dividend Growth 5yr,
Short Int Current Month,3155809.0
Short Int Prev Month,3217360.0
Short Int Pct of Float,0.0561637
Days to Cover,3.39293
Float,213.0527
Shares Outstanding,237.7265
Institutions Holding Shares,338.0
FCF Growth 5yr,-0.5810782814937673
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3922
Operating Profit Margin (TTM),-0.038
Net Profit Margin (TTM),-0.0513
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.6207
EPS Growth (TTM),-2.9002999999999997
Revenue Growth (MRQ),1.1501000000000001
Revenue Growth (TTM),1.2655
Return On Equity (TTM),-0.0535
Return On Assets (TTM),-0.0316
Return On Investment (TTM),-0.0392
Revenue Per Employee (TTM),675242.0
Total Debt/Total Capital (MRQ),0.2705
Change in Debt/Total Capital Quarter over Quarter,-0.0038
Quick Ratio (MRQ),
Interest Coverage (MRQ),-5.67
newConstructs,rating-box
researchTeam,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-06 00:00:00
cfra since,2022-11-03 00:00:00
marketEdge opinion since,
marketEdge since,2021-12-03 00:00:00
theStreet since,
