,ZG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-128.31,Valuation,
Price/Sales (TTM),1.55,1.78,Valuation,0.8707865168539326
Price/Book (MRQ),1.8,2.29,Valuation,0.7860262008733625
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.3922,0.2696,Profitability,1.454747774480712
Operating Profit Margin (TTM),-0.038,-0.2328,Profitability,0.16323024054982818
Net Profit Margin (TTM),-0.0513,-0.1213,Profitability,0.42291838417147565
Annual Dividend Yield,,0.0044,Dividend,
Dividend Change %,,0.0943,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0072,Dividend,
EPS Growth (MRQ),-3.6207,1.0171,Gowth rates,-3.559826959001082
EPS Growth (TTM),-2.9002999999999997,0.7006,Gowth rates,-4.1397373679703104
Revenue Growth (MRQ),1.1501000000000001,0.16149999999999998,Gowth rates,7.121362229102169
Revenue Growth (TTM),1.2655,0.44439999999999996,Gowth rates,2.847659765976598
Return On Equity (TTM),-0.0535,0.0932,Effectiveness,-0.5740343347639485
Return On Assets (TTM),-0.0316,0.0415,Effectiveness,-0.7614457831325302
Return On Investment (TTM),-0.0392,0.0722,Effectiveness,-0.5429362880886427
Revenue Per Employee (TTM),675242.0,1051798.0,Effectiveness,0.6419882905272686
Total Debt/Total Capital (MRQ),0.2705,0.5311,Financial strength,0.5093202786669178
Change in Debt/Total Capital Quarter over Quarter,-0.0038,-0.0005,Financial strength,7.6
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),-5.67,3.44,Financial strength,-1.6482558139534884
