,PGEN
% Above Low,0.6696
% Held by Institutions,0.605
52-Wk Range,['1.12 - 4.20']
Annual Dividend $,
Annual Dividend %,
Ask,1.87
Ask Size,1100.0
B/A Ratio,1.1818181818181819
B/A Size,1300x1100
Beta,1.9
Bid,1.86
Bid Size,1300.0
Day Change $,-0.05
Day Change %,-0.026000000000000002
Day High,1.94
Day Low,1.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,0.881
Last (size),1.0
Last (time),10:42a ET 11/28/22
Market Cap,389.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.92
Price,1.87
Short Interest,0.0409
Today's Open,1.88
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.1886792452830188
Growth 1yr High Est,-1.441860465116279
Growth 1yr Consensus Est,-1.315269855199649
Growth 2yr Low Est,-3.6943396226415093
Growth 2yr High Est,-1.9314565483476132
Growth 2yr Consensus Est,-2.8128980854945613
Growth 5yr Low Est,-3.6943396226415093
Growth 5yr High Est,-1.9314565483476132
Growth 5yr Consensus Est,-2.8128980854945613
Growth 5yr Actual/Est,-1.6100656574686611
Growth 3yr Historic,-0.24988328664799253
Price/Earnings (TTM),
Price/Sales (TTM),8.09545
Price/Book (MRQ),2.80392
Price/Cash Flow (TTM),
5yr Low,1.12
5yr High,20.16
5yr Avg Return,-0.16721666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.1146245
Dividend Growth 5yr,
Short Int Current Month,7491475.0
Short Int Prev Month,7879259.0
Short Int Pct of Float,0.0408514
Days to Cover,9.4502
Float,183.369
Shares Outstanding,208.15
Institutions Holding Shares,212.0
FCF Growth 5yr,0.208428229375153
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5947
Operating Profit Margin (TTM),-1.5074
Net Profit Margin (TTM),-1.6739
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7070000000000001
EPS Growth (TTM),-0.0176
Revenue Growth (MRQ),4.7444
Revenue Growth (TTM),-0.0319
Return On Equity (TTM),-0.6037
Return On Assets (TTM),-0.25980000000000003
Return On Investment (TTM),-0.329
Revenue Per Employee (TTM),108261.0
Total Debt/Total Capital (MRQ),0.3654
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002
Quick Ratio (MRQ),1.55
Interest Coverage (MRQ),-6.81
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2015-08-11 00:00:00
theStreet since,2015-08-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
