,PGEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),8.1,45.03,Valuation,0.1798800799467022
Price/Book (MRQ),2.8,12.61,Valuation,0.22204599524187152
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.5947,0.5874,Profitability,1.0124276472591078
Operating Profit Margin (TTM),-1.5074,-4.7459,Profitability,0.3176215259487137
Net Profit Margin (TTM),-1.6739,-4.5467,Profitability,0.36815712494776426
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.7070000000000001,-0.0014000000000000002,Gowth rates,-505.0
EPS Growth (TTM),-0.0176,0.027200000000000002,Gowth rates,-0.6470588235294118
Revenue Growth (MRQ),4.7444,1.3963999999999999,Gowth rates,3.3975938126611287
Revenue Growth (TTM),-0.0319,0.9747,Gowth rates,-0.03272801887760336
Return On Equity (TTM),-0.6037,0.1967,Effectiveness,-3.069140823589222
Return On Assets (TTM),-0.25980000000000003,0.0016,Effectiveness,-162.375
Return On Investment (TTM),-0.329,0.0219,Effectiveness,-15.022831050228312
Revenue Per Employee (TTM),108261.0,1476201.0,Effectiveness,0.07333757394826314
Total Debt/Total Capital (MRQ),0.3654,0.4675,Financial strength,0.7816042780748663
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002,0.0036,Financial strength,-0.9444444444444445
Quick Ratio (MRQ),1.55,2.06,Financial strength,0.7524271844660194
Interest Coverage (MRQ),-6.81,2.69,Financial strength,-2.5315985130111525
