,WU
% Above Low,0.1627
% Held by Institutions,1.0081
52-Wk Range,['12.27 - 20.40']
Annual Dividend $,0.94
Annual Dividend %,0.0658
Ask,16.0
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,0.9
Bid,13.5
Bid Size,300.0
Closing Price,14.26
Day Change $,-0.03
Day Change %,-0.0021
Day High,14.48
Day Low,14.16
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",2.11
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.344
Last (size),86.0
Last (time),7:00p ET 11/28/22
Market Cap,5.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.76
Prev Close,14.29
Short Interest,0.0971
Today's Open,14.18
Volume,3553141.0
Volume 10-day Avg,4492259.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.03846153846153855
Growth 1yr High Est,-0.02127659574468077
Growth 1yr Consensus Est,-0.02986906710310966
Growth 2yr Low Est,-0.07637362637362638
Growth 2yr High Est,-0.07042090656799255
Growth 2yr Consensus Est,-0.07339726647080946
Growth 5yr Low Est,-0.025181032839992373
Growth 5yr High Est,-0.024099342172885202
Growth 5yr Consensus Est,-0.024640187506438788
Growth 5yr Actual/Est,-0.010675252075938196
Growth 3yr Historic,0.06301196253593394
Price/Earnings (TTM),6.76334
Price/Sales (TTM),1.18207
Price/Book (MRQ),10.43822
Price/Cash Flow (TTM),5.43469
5yr Low,12.27
5yr High,28.45
5yr Avg Return,-0.02178333333333333
EPS Growth 5yr,0.30884
Revenue Growth 5yr,-0.0133367
Dividend Growth 5yr,0.079915
Short Int Current Month,37187721.0
Short Int Prev Month,31073131.0
Short Int Pct of Float,0.09706870000000001
Days to Cover,6.03814
Float,383.3667
Shares Outstanding,386.1708
Institutions Holding Shares,753.0
FCF Growth 5yr,0.11147828155042445
"Price/Earnings (TTM, GAAP)",6.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4301
Operating Profit Margin (TTM),0.25739999999999996
Net Profit Margin (TTM),0.1778
Annual Dividend Yield,0.0658
Dividend Change %,0.0444
"Dividend Growth Rate, 3 Years",0.0734
EPS Growth (MRQ),-0.1036
EPS Growth (TTM),0.06849999999999999
Revenue Growth (MRQ),-0.042800000000000005
Revenue Growth (TTM),-0.077
Return On Equity (TTM),1.8508000000000002
Return On Assets (TTM),0.0934
Return On Investment (TTM),0.1115
Revenue Per Employee (TTM),444610.0
Total Debt/Total Capital (MRQ),0.8317
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.41
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-07-13 00:00:00
cfra since,2021-05-05 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
