,ISEE
% Below High,0.1139
% Held by Institutions,1.0507
52-Wk Range,['8.85 - 24.33']
Annual Dividend $,
Annual Dividend %,
Ask,21.7
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,21.01
Bid Size,1000.0
Closing Price,21.56
Day Change $,-0.18
Day Change %,-0.0083
Day High,21.94
Day Low,21.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.34
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.74
Short Interest,0.06860000000000001
Today's Open,21.73
Volume,513938.0
Volume 10-day Avg,3486016.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.3909090909090909
Growth 1yr High Est,0.32692307692307687
Growth 1yr Consensus Est,0.3589160839160839
Growth 2yr Low Est,0.27715389185977424
Growth 2yr High Est,0.11273690078037907
Growth 2yr Consensus Est,0.19494539632007665
Growth 5yr Low Est,0.08500551735845857
Growth 5yr High Est,0.011092859839008429
Growth 5yr Consensus Est,0.0480491885987335
Growth 5yr Actual/Est,0.03249524440597901
Growth 3yr Historic,-0.049349993689259075
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),10.01652
Price/Cash Flow (TTM),
5yr Low,0.9059
5yr High,24.33
5yr Avg Return,1.1860833333333334
Short Int Current Month,8172526.0
Short Int Prev Month,8996407.0
Short Int Pct of Float,0.06863380000000001
Days to Cover,2.31842
Float,119.1294
Shares Outstanding,120.7228
Institutions Holding Shares,279.0
FCF Growth 5yr,0.29957914209427045
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1445
EPS Growth (TTM),-0.2006
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.6551
Return On Assets (TTM),-0.5493
Return On Investment (TTM),-0.5956
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
