,U,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),8.55,9.39,Valuation,0.9105431309904154
Price/Book (MRQ),4.87,12.63,Valuation,0.38558986539984164
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7004,0.7206,Profitability,0.9719678046072717
Operating Profit Margin (TTM),-0.5998,0.2172,Profitability,-2.761510128913444
Net Profit Margin (TTM),-0.6317,0.1553,Profitability,-4.067611075338056
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.21559999999999999,-0.0752,Gowth rates,2.8670212765957444
EPS Growth (TTM),-0.6577,-0.2824,Gowth rates,2.3289660056657224
Revenue Growth (MRQ),0.087,0.15560000000000002,Gowth rates,0.5591259640102827
Revenue Growth (TTM),0.2374,0.1906,Gowth rates,1.2455403987408185
Return On Equity (TTM),-0.3805,0.2189,Effectiveness,-1.7382366377341252
Return On Assets (TTM),-0.2143,0.10740000000000001,Effectiveness,-1.9953445065176907
Return On Investment (TTM),-0.2553,0.1387,Effectiveness,-1.8406633020908438
Revenue Per Employee (TTM),239450.0,667721.0,Effectiveness,0.358607861666774
Total Debt/Total Capital (MRQ),0.4365,0.39659999999999995,Financial strength,1.100605143721634
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-211.12,0.28,Financial strength,-754.0
