,U
% Above Low,0.6734
% Held by Institutions,0.8283
52-Wk Range,['21.22 - 186.60']
Annual Dividend $,
Annual Dividend %,
Ask,35.61
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,
Bid,35.51
Bid Size,1000.0
Closing Price,35.51
Day Change $,-0.18
Day Change %,-0.005
Day High,36.34
Day Low,34.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.69
Ex-dividend Date,No dividend
Historical Volatility,1.07
Last (size),64.0
Last (time),7:00p ET 11/28/22
Market Cap,14.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,35.69
Short Interest,0.0925
Today's Open,34.43
Volume,14145066.0
Volume 10-day Avg,17734209.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.4999999999999998
Growth 1yr High Est,0.9333333333333333
Growth 1yr Consensus Est,0.7166666666666666
Growth 2yr Low Est,-0.2500000000000001
Growth 2yr High Est,-1.5333333333333332
Growth 2yr Consensus Est,-0.8916666666666666
Growth 5yr Low Est,-0.2500000000000001
Growth 5yr High Est,-1.5333333333333332
Growth 5yr Consensus Est,-0.8916666666666667
Growth 5yr Actual/Est,-0.5165112665112666
Growth 3yr Historic,-0.1452991452991453
Price/Earnings (TTM),
Price/Sales (TTM),8.54649
Price/Book (MRQ),4.87041
Price/Cash Flow (TTM),
5yr Low,21.22
5yr High,210.0
5yr Avg Return,0.07183333333333333
Short Int Current Month,20462308.0
Short Int Prev Month,29398902.0
Short Int Pct of Float,0.0925036
Days to Cover,1.21016
Float,282.1489
Shares Outstanding,300.7469
Institutions Holding Shares,678.0
FCF Growth 5yr,-1.6978843216873312
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7004
Operating Profit Margin (TTM),-0.5998
Net Profit Margin (TTM),-0.6317
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.21559999999999999
EPS Growth (TTM),-0.6577
Revenue Growth (MRQ),0.087
Revenue Growth (TTM),0.2374
Return On Equity (TTM),-0.3805
Return On Assets (TTM),-0.2143
Return On Investment (TTM),-0.2553
Revenue Per Employee (TTM),239450.0
Total Debt/Total Capital (MRQ),0.4365
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-211.12
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-11-10 00:00:00
theStreet since,2021-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-14 00:00:00
ford since,2022-08-12 00:00:00
marketEdge opinion since,
