,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,174.94,210.0,144.69,,,,,
low,65.11,76.0,21.22,,,,,
change,1.0463,-0.0775,-0.7533,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,1056.0,1152.0,1162.0,1239.0,Balance Sheet
Short Term Investments,,,,681.0,657.0,591.0,447.0,Balance Sheet
Cash and Short Term Invs,,,,1737.0,1809.0,1754.0,1686.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,318.0,319.0,301.0,293.0,Balance Sheet
Prov. for Doubtful Accts,,,,-5.0,-6.0,-6.0,-7.0,Balance Sheet
"Total Receivables, Net",,,,340.0,333.0,322.0,316.0,Balance Sheet
Prepaid Expenses,,,,39.0,49.0,73.0,73.0,Balance Sheet
"Other Curr. Assets, Total",,,,34.0,34.0,9.0,9.0,Balance Sheet
Total Current Assets,,,,2151.0,2224.0,2158.0,2084.0,Balance Sheet
Buildings,,,,84.0,91.0,,,Balance Sheet
Machinery/Equipment,,,,80.0,87.0,,,Balance Sheet
Construction in Progress,,,,12.0,8.0,,,Balance Sheet
Other Prop./Plant/Equip.,,,,126.0,130.0,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,302.0,317.0,,,Balance Sheet
Accumulated Depreciation,,,,-98.0,-105.0,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,204.0,212.0,205.0,202.0,Balance Sheet
"Goodwill, Net",,,,1620.0,1658.0,1658.0,1658.0,Balance Sheet
Intangibles - Gross,,,,891.0,898.0,,,Balance Sheet
Accum. Intangible Amort.,,,,-77.0,-109.0,,,Balance Sheet
Intangibles - Net,,,,814.0,789.0,758.0,725.0,Balance Sheet
Deferred Charges,,,,9.0,7.0,7.0,6.0,Balance Sheet
Restricted Cash - LT,,,,11.0,11.0,11.0,,Balance Sheet
Other Long Term Assets,,,,32.0,46.0,44.0,52.0,Balance Sheet
Total Assets,,,,4841.0,4947.0,4840.0,4727.0,Balance Sheet
Accounts Payable,,,,14.0,13.0,12.0,14.0,Balance Sheet
Accrued Expenses,,,,169.0,148.0,214.0,222.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,141.0,200.0,203.0,203.0,Balance Sheet
Income Taxes Payable,,,,65.0,55.0,,,Balance Sheet
Other Payables,,,,238.0,214.0,198.0,173.0,Balance Sheet
"Other Curr. Lblts, Total",,,,443.0,469.0,401.0,376.0,Balance Sheet
Total Current Liabilities,,,,626.0,630.0,626.0,612.0,Balance Sheet
Total Long Term Debt,,,,1703.0,1704.0,1705.0,1706.0,Balance Sheet
Total Debt,,,,1703.0,1704.0,1705.0,1706.0,Balance Sheet
"Other Liabilities, Total",,,,118.0,250.0,226.0,206.0,Balance Sheet
Total Liabilities,,,,2447.0,2585.0,2558.0,2524.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,,,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,3730.0,3880.0,4005.0,4180.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-1332.0,-1509.0,-1713.0,-1963.0,Balance Sheet
"Other Equity, Total",,,,-4.0,-8.0,-10.0,-14.0,Balance Sheet
Total Equity,,,,2394.0,2362.0,2282.0,2203.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,4841.0,4947.0,4840.0,4727.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,293.0,296.0,298.0,301.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,315864.0,320126.0,297043.0,322881.0,Income Statement
"Cost of Revenue, Total",,,,73654.0,93833.0,96836.0,111903.0,Income Statement
