,NARI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),11.21,9.8,Valuation,1.1438775510204082
Price/Book (MRQ),9.68,10.31,Valuation,0.9388942774005818
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.8895000000000001,0.6196,Profitability,1.435603615235636
Operating Profit Margin (TTM),-0.057,0.047,Profitability,-1.2127659574468086
Net Profit Margin (TTM),-0.06230000000000001,0.009300000000000001,Profitability,-6.698924731182796
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.009000000000000001,-0.4858,Gowth rates,-0.018526142445450804
EPS Growth (TTM),-2.4609,-0.2029,Gowth rates,12.128634795465747
Revenue Growth (MRQ),0.0373,0.1161,Gowth rates,0.3212747631352283
Revenue Growth (TTM),0.4808,0.18300000000000002,Gowth rates,2.6273224043715846
Return On Equity (TTM),-0.0689,0.1068,Effectiveness,-0.6451310861423221
Return On Assets (TTM),-0.057300000000000004,0.0622,Effectiveness,-0.9212218649517686
Return On Investment (TTM),-0.0631,0.0732,Effectiveness,-0.8620218579234973
Revenue Per Employee (TTM),448648.0,403586.0,Effectiveness,1.1116540216954998
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),9.0,2.25,Financial strength,4.0
Interest Coverage (MRQ),,14.99,Financial strength,
