,NCLH
% Above Low,0.5936
% Held by Institutions,0.5517
52-Wk Range,['10.31 - 23.90']
Annual Dividend $,
Annual Dividend %,
Ask,16.37
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.5
Bid,16.25
Bid Size,100.0
Change Since Close,-0.14| |(-0.85%)
Closing Price,16.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.28
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),55.0
Last (time),5:00p ET 11/25/22
Last Trade,16.29
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,16.43
Short Interest,0.1041
Today's Open,
Volume,4263.0
Volume 10-day Avg,15174501.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.48723640399556045
Growth 1yr High Est,-0.4734177215189873
Growth 1yr Consensus Est,-0.4803270627572739
Growth 2yr Low Est,-0.806388764768343
Growth 2yr High Est,-0.914593476144109
Growth 2yr Consensus Est,-0.860491120456226
Growth 5yr Low Est,-1.1001189855587747
Growth 5yr High Est,-1.0907918837031225
Growth 5yr Consensus Est,-1.0954554346309486
Growth 5yr Actual/Est,-1.1152450172147776
Growth 3yr Historic,-0.6908545486793277
Price/Earnings (TTM),
Price/Sales (TTM),1.81622
Price/Book (MRQ),17.31813
Price/Cash Flow (TTM),
5yr Low,7.03
5yr High,61.18
5yr Avg Return,-0.1372
EPS Growth 5yr,
Revenue Growth 5yr,-0.33207149999999996
Dividend Growth 5yr,
Short Int Current Month,43617122.0
Short Int Prev Month,40896299.0
Short Int Pct of Float,0.10408200000000001
Days to Cover,1.92023
Float,419.66
Shares Outstanding,421.3961
Institutions Holding Shares,635.0
FCF Growth 5yr,0.5941909377236049
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0123
Operating Profit Margin (TTM),-0.7654000000000001
Net Profit Margin (TTM),-0.8815000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.42240000000000005
EPS Growth (TTM),0.2401
Revenue Growth (MRQ),0.3608
Revenue Growth (TTM),21.4071
Return On Equity (TTM),-2.0469999999999997
Return On Assets (TTM),-0.1783
Return On Investment (TTM),-0.22340000000000002
Revenue Per Employee (TTM),109858.0
Total Debt/Total Capital (MRQ),0.9721
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),-1.22
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2020-02-03 00:00:00
theStreet since,2020-05-14 00:00:00
cfra since,2021-12-31 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
