,NCLH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,103.69,Valuation,
Price/Sales (TTM),1.82,5.63,Valuation,0.3232682060390764
Price/Book (MRQ),17.32,8.51,Valuation,2.0352526439482963
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.0123,0.4058,Profitability,0.0303104977821587
Operating Profit Margin (TTM),-0.7654000000000001,0.1648,Profitability,-4.644417475728155
Net Profit Margin (TTM),-0.8815000000000001,0.0801,Profitability,-11.004993757802747
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),0.42240000000000005,0.3321,Gowth rates,1.2719060523938575
EPS Growth (TTM),0.2401,2.1422,Gowth rates,0.11208103818504342
Revenue Growth (MRQ),0.3608,0.38689999999999997,Gowth rates,0.9325407081933317
Revenue Growth (TTM),21.4071,0.7726000000000001,Gowth rates,27.707869531452236
Return On Equity (TTM),-2.0469999999999997,0.1915,Effectiveness,-10.68929503916449
Return On Assets (TTM),-0.1783,0.0764,Effectiveness,-2.3337696335078535
Return On Investment (TTM),-0.22340000000000002,0.1012,Effectiveness,-2.2075098814229253
Revenue Per Employee (TTM),109858.0,286353.0,Effectiveness,0.3836453607959407
Total Debt/Total Capital (MRQ),0.9721,1.1601000000000001,Financial strength,0.8379450047409704
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.002,Financial strength,0.55
Quick Ratio (MRQ),0.43,0.8,Financial strength,0.5375
Interest Coverage (MRQ),-1.22,40.35,Financial strength,-0.030235439900867408
