,TTC
% Below High,0.0353
% Held by Institutions,0.8617
52-Wk Range,['71.86 - 113.37']
Annual Dividend $,1.2
Annual Dividend %,0.0108
Ask,115.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,109.09
Bid Size,100.0
Change Since Close,-0.28| |(-0.26%)
Closing Price,109.37
Day Change $,-2.04
Day Change %,-0.0183
Day High,111.26
Day Low,108.84
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",3.64
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.298
Last (size),48.0
Last (time),7:00p ET 11/28/22
Last Trade,109.09
Market Cap,11.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.59
Prev Close,111.41
Short Interest,0.0189
Today's Open,110.65
Volume,337753.0
Volume 10-day Avg,454344.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.15966386554621836
Growth 1yr High Est,0.1479452054794521
Growth 1yr Consensus Est,0.15380453551283524
Growth 2yr Low Est,0.13538748832866476
Growth 2yr High Est,0.20165756694020331
Growth 2yr Consensus Est,0.16852252763443404
Growth 5yr Low Est,0.12295396013883408
Growth 5yr High Est,0.15763403884491678
Growth 5yr Consensus Est,0.14029399949187543
Growth 5yr Actual/Est,0.13490239697994855
Growth 3yr Historic,0.05133554083885211
Price/Earnings (TTM),30.59227
Price/Sales (TTM),2.69773
Price/Book (MRQ),9.02238
Price/Cash Flow (TTM),23.61939
5yr Low,52.07
5yr High,118.13
5yr Avg Return,0.10885
EPS Growth 5yr,0.1287046
Revenue Growth 5yr,0.1060412
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,1965563.0
Short Int Prev Month,2303367.0
Short Int Pct of Float,0.0189275
Days to Cover,3.93733
Float,103.8658
Shares Outstanding,104.2026
Institutions Holding Shares,564.0
FCF Growth 5yr,2.3255069323326816
"Price/Earnings (TTM, GAAP)",30.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32420000000000004
Operating Profit Margin (TTM),0.1161
Net Profit Margin (TTM),0.0897
Annual Dividend Yield,0.0108
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.0949
EPS Growth (MRQ),-0.0429
EPS Growth (TTM),-0.0605
Revenue Growth (MRQ),-0.0712
Revenue Growth (TTM),0.1207
Return On Equity (TTM),0.3058
Return On Assets (TTM),0.1204
Return On Investment (TTM),0.1739
Revenue Per Employee (TTM),452031.0
Total Debt/Total Capital (MRQ),0.4507
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),17.83
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2011-02-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2016-05-19 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
