,STEL
Price/Earnings (TTM),23.9437
Price/Sales (TTM),11.15588
Price/Book (MRQ),1.61163
Price/Cash Flow (TTM),45.56633
5yr Low,12.5
5yr High,38.71
5yr Avg Return,0.028450000000000003
EPS Growth 5yr,0.0343434
Revenue Growth 5yr,0.036385299999999995
Dividend Growth 5yr,
Short Int Current Month,944754.0
Short Int Prev Month,1089102.0
Short Int Pct of Float,0.0208133
Days to Cover,3.79827
Float,45.57943
Shares Outstanding,52.29769
Institutions Holding Shares,158.0
% Held by Institutions,0.23771899999999999
FCF Growth 5yr,0.6876750700280111
