,STEL
% Below High,0.0738
% Held by Institutions,0.2377
52-Wk Range,['26.11 - 36.09']
Annual Dividend $,0.52
Annual Dividend %,0.0155
Ask,33.45
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.9
Bid,33.4
Bid Size,200.0
Day Change $,-0.225
Day Change %,-0.0067
Day High,33.97
Day Low,33.38
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.28
Last (size),8.0
Last (time),3:24p ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",23.94
Prev Close,33.65
Price,33.43
Short Interest,0.0208
Today's Open,33.67
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.50561797752809
Growth 1yr High Est,0.4725274725274726
Growth 1yr Consensus Est,0.4890727250277813
Growth 2yr Low Est,0.3125104813013584
Growth 2yr High Est,0.4657413482040348
Growth 2yr Consensus Est,0.3891259147526966
Growth 5yr Low Est,0.13214356552377565
Growth 5yr High Est,0.20590988978829192
Growth 5yr Consensus Est,0.16902672765603377
Growth 5yr Actual/Est,0.2358150960506487
Growth 3yr Historic,0.06279189239678684
Price/Earnings (TTM),23.9437
Price/Sales (TTM),11.15588
Price/Book (MRQ),1.61163
Price/Cash Flow (TTM),45.56633
5yr Low,12.5
5yr High,38.71
5yr Avg Return,0.028450000000000003
EPS Growth 5yr,0.0343434
Revenue Growth 5yr,0.036385299999999995
Dividend Growth 5yr,
Short Int Current Month,944754.0
Short Int Prev Month,1089102.0
Short Int Pct of Float,0.0208133
Days to Cover,3.79827
Float,45.57943
Shares Outstanding,52.29769
Institutions Holding Shares,158.0
FCF Growth 5yr,0.6876750700280111
"Price/Earnings (TTM, GAAP)",23.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2841
Net Profit Margin (TTM),0.2187
Annual Dividend Yield,0.015500000000000002
Dividend Change %,0.3
"Dividend Growth Rate, 3 Years",0.3751
EPS Growth (MRQ),0.09460000000000002
EPS Growth (TTM),-0.2547
Revenue Growth (MRQ),0.2384
Revenue Growth (TTM),0.0962
Return On Equity (TTM),0.0647
Return On Assets (TTM),0.008100000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-05-03 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
