,FCFS
Price/Earnings (TTM),21.41374
Price/Sales (TTM),1.74194
Price/Book (MRQ),2.43733
Price/Cash Flow (TTM),14.7286
5yr Low,51.15
5yr High,106.8
5yr Avg Return,0.06498333333333332
EPS Growth 5yr,0.12129709999999999
Revenue Growth 5yr,0.09315319999999999
Dividend Growth 5yr,0.156718
Short Int Current Month,780101.0
Short Int Prev Month,1149300.0
Short Int Pct of Float,0.021000200000000004
Days to Cover,2.74976
Float,37.13925
Shares Outstanding,46.31806
Institutions Holding Shares,281.0
% Held by Institutions,0.808716
FCF Growth 5yr,-0.007938726492292575
