,FCFS
% Below High,0.0668
% Held by Institutions,0.8087000000000001
52-Wk Range,['58.30 - 100.00']
Annual Dividend $,1.32
Annual Dividend %,0.0141
Ask,93.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,93.01
Bid Size,100.0
Closing Price,93.32
Day Change $,-0.74
Day Change %,-0.0079
Day High,94.29
Day Low,93.24
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.391
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.41
Prev Close,94.06
Short Interest,0.021
Today's Open,94.29
Volume,72658.0
Volume 10-day Avg,280149.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7210884353741496
Growth 1yr High Est,0.6807817589576548
Growth 1yr Consensus Est,0.7009350971659022
Growth 2yr Low Est,0.46627544298351753
Growth 2yr High Est,0.4498870035098351
Growth 2yr Consensus Est,0.45808122324667633
Growth 5yr Low Est,0.17404681240084965
Growth 5yr High Est,0.1702361226200575
Growth 5yr Consensus Est,0.17214146751045356
Growth 5yr Actual/Est,0.14923111743160591
Growth 3yr Historic,0.020687254994064347
Price/Earnings (TTM),21.41374
Price/Sales (TTM),1.74194
Price/Book (MRQ),2.43733
Price/Cash Flow (TTM),14.7286
5yr Low,51.15
5yr High,106.8
5yr Avg Return,0.06498333333333332
EPS Growth 5yr,0.12129709999999999
Revenue Growth 5yr,0.09315319999999999
Dividend Growth 5yr,0.156718
Short Int Current Month,780101.0
Short Int Prev Month,1149300.0
Short Int Pct of Float,0.021000200000000004
Days to Cover,2.74976
Float,37.13925
Shares Outstanding,46.31806
Institutions Holding Shares,281.0
FCF Growth 5yr,-0.007938726492292575
"Price/Earnings (TTM, GAAP)",21.41
"PEG Ratio (TTM, GAAP)",1.34
Gross Profit Margin (TTM),0.46090000000000003
Operating Profit Margin (TTM),0.12840000000000001
Net Profit Margin (TTM),0.0817
Annual Dividend Yield,0.0141
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",0.0874
EPS Growth (MRQ),-0.3042
EPS Growth (TTM),0.39049999999999996
Revenue Growth (MRQ),0.0379
Revenue Growth (TTM),0.5613
Return On Equity (TTM),0.1309
Return On Assets (TTM),0.0634
Return On Investment (TTM),0.0695
Revenue Per Employee (TTM),145963.0
Total Debt/Total Capital (MRQ),0.43210000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),2.56
Interest Coverage (MRQ),5.16
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-06-08 00:00:00
researchTeam since,2022-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
