,ADPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),6.91,6.06,Valuation,1.1402640264026405
Price/Book (MRQ),2.38,6.22,Valuation,0.38263665594855306
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.6687000000000001,0.5095000000000001,Profitability,1.3124631992149165
Operating Profit Margin (TTM),-1.3247,0.0332,Profitability,-39.90060240963855
Net Profit Margin (TTM),-1.3185,-0.0454,Profitability,29.041850220264315
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.1334,-0.5094,Gowth rates,-0.2618767177071064
EPS Growth (TTM),-0.1421,-0.2377,Gowth rates,0.5978123685317628
Revenue Growth (MRQ),0.09550000000000002,0.1691,Gowth rates,0.5647545830869309
Revenue Growth (TTM),0.1463,0.1222,Gowth rates,1.1972176759410802
Return On Equity (TTM),-0.38880000000000003,1.1042,Effectiveness,-0.35211012497735916
Return On Assets (TTM),-0.2361,0.0644,Effectiveness,-3.6661490683229814
Return On Investment (TTM),-0.2685,0.0802,Effectiveness,-3.347880299251871
Revenue Per Employee (TTM),195851.0,335561.0,Effectiveness,0.583652450672158
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),5.26,1.51,Financial strength,3.4834437086092715
Interest Coverage (MRQ),,33.07,Financial strength,
