,PEGA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.49,9.39,Valuation,0.26517571884984026
Price/Book (MRQ),47.34,12.63,Valuation,3.7482185273159145
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7079000000000001,0.7206,Profitability,0.982375797946156
Operating Profit Margin (TTM),-0.2006,0.2172,Profitability,-0.923572744014733
Net Profit Margin (TTM),-0.3373,0.1553,Profitability,-2.1719253058596264
Annual Dividend Yield,0.0032,0.006999999999999999,Dividend,0.45714285714285724
Dividend Change %,0.0,0.07940000000000001,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.10060000000000001,0.0703,Dividend,1.4310099573257469
EPS Growth (MRQ),0.6739,-0.0752,Gowth rates,-8.961436170212766
EPS Growth (TTM),-15.3509,-0.2824,Gowth rates,54.35871104815864
Revenue Growth (MRQ),-0.0131,0.15560000000000002,Gowth rates,-0.08419023136246787
Revenue Growth (TTM),0.0364,0.1906,Gowth rates,0.19097586568730326
Return On Equity (TTM),-1.5915000000000001,0.2189,Effectiveness,-7.270443124714482
Return On Assets (TTM),-0.30670000000000003,0.10740000000000001,Effectiveness,-2.855679702048417
Return On Investment (TTM),-0.43770000000000003,0.1387,Effectiveness,-3.155731795241529
Revenue Per Employee (TTM),201787.0,667721.0,Effectiveness,0.3022025666408575
Total Debt/Total Capital (MRQ),0.9013,0.39659999999999995,Financial strength,2.2725668179525975
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002,0.0004,Financial strength,8.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
