,TGNA
% Above Low,0.08470000000000001
% Held by Institutions,0.8825
52-Wk Range,['17.94 - 23.04']
Annual Dividend $,0.38
Annual Dividend %,0.019299999999999998
Ask,21.95
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.7
Bid,19.4
Bid Size,300.0
Change Since Close,-0.06| |(-0.31%)
Closing Price,19.46
Day Change $,-0.19
Day Change %,-0.0097
Day High,19.63
Day Low,19.41
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.41
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.226
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,19.4
Market Cap,4.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.14
Prev Close,19.65
Short Interest,0.024700000000000003
Today's Open,19.54
Volume,1306834.0
Volume 10-day Avg,1997014.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3414634146341464
Growth 1yr High Est,0.4545454545454546
Growth 1yr Consensus Est,0.3980044345898005
Growth 2yr Low Est,0.043458980044345896
Growth 2yr High Est,0.10227272727272724
Growth 2yr Consensus Est,0.07286585365853657
Growth 5yr Low Est,0.17513051633508916
Growth 5yr High Est,0.21009214215735958
Growth 5yr Consensus Est,0.19261132924622437
Growth 5yr Actual/Est,0.1781313373663977
Growth 3yr Historic,0.15036231884057974
Price/Earnings (TTM),8.13803
Price/Sales (TTM),1.3988
Price/Book (MRQ),1.52398
Price/Cash Flow (TTM),6.59583
5yr Low,9.61
5yr High,23.04
5yr Avg Return,0.09783333333333333
EPS Growth 5yr,0.0878829
Revenue Growth 5yr,0.0833845
Dividend Growth 5yr,-0.1003674
Short Int Current Month,5467043.0
Short Int Prev Month,7228829.0
Short Int Pct of Float,0.024697200000000002
Days to Cover,2.50445
Float,221.5819
Shares Outstanding,223.2933
Institutions Holding Shares,448.0
FCF Growth 5yr,0.3016566715143807
"Price/Earnings (TTM, GAAP)",8.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4683
Operating Profit Margin (TTM),0.2779
Net Profit Margin (TTM),0.1729
Annual Dividend Yield,0.0193
Dividend Change %,0.1786
"Dividend Growth Rate, 3 Years",0.0563
EPS Growth (MRQ),0.106
EPS Growth (TTM),-0.09699999999999999
Revenue Growth (MRQ),0.0232
Revenue Growth (TTM),-0.0055000000000000005
Return On Equity (TTM),0.20420000000000002
Return On Assets (TTM),0.0772
Return On Investment (TTM),0.0817
Revenue Per Employee (TTM),505929.0
Total Debt/Total Capital (MRQ),0.5145000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.41
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-12-05 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
