,ALGN
% Above Low,0.1315
% Held by Institutions,0.866
52-Wk Range,['172.05 - 688.60']
Annual Dividend $,
Annual Dividend %,
Ask,195.1
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.7
Bid,194.67
Bid Size,200.0
Closing Price,194.67
Day Change $,-1.61
Day Change %,-0.008199999999999999
Day High,196.28
Day Low,190.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.46
Ex-dividend Date,No dividend
Historical Volatility,0.611
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,15.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.14
Prev Close,196.28
Short Interest,0.0345
Today's Open,194.82
Volume,387805.0
Volume 10-day Avg,961994.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3369245837414301
Growth 1yr High Est,-0.3442188879082083
Growth 1yr Consensus Est,-0.3405717358248192
Growth 2yr Low Est,-0.1773249211173915
Growth 2yr High Est,-0.03953878446554421
Growth 2yr Consensus Est,-0.10843185279146786
Growth 5yr Low Est,0.13844034317962206
Growth 5yr High Est,0.2509107548260514
Growth 5yr Consensus Est,0.1946755490028367
Growth 5yr Actual/Est,0.2078130582429476
Growth 3yr Historic,0.2716274864376131
Price/Earnings (TTM),30.14069
Price/Sales (TTM),3.93511
Price/Book (MRQ),4.11568
Price/Cash Flow (TTM),24.04348
5yr Low,127.88
5yr High,737.45
5yr Avg Return,0.08881666666666665
EPS Growth 5yr,0.33007489999999995
Revenue Growth 5yr,0.2962883
Dividend Growth 5yr,
Short Int Current Month,2524263.0
Short Int Prev Month,2766024.0
Short Int Pct of Float,0.0345071
Days to Cover,1.91701
Float,73.16514
Shares Outstanding,78.11235
Institutions Holding Shares,1112.0
FCF Growth 5yr,-13.328704966215192
"Price/Earnings (TTM, GAAP)",30.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7144
Operating Profit Margin (TTM),0.1943
Net Profit Margin (TTM),0.1322
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.353
EPS Growth (TTM),-0.3048
Revenue Growth (MRQ),-0.0817
Revenue Growth (TTM),0.0288
Return On Equity (TTM),0.1417
Return On Assets (TTM),0.0883
Return On Investment (TTM),0.1283
Revenue Per Employee (TTM),171438.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-07-15 00:00:00
cfra since,2021-10-28 00:00:00
ford since,2022-07-15 00:00:00
marketEdge opinion since,
marketEdge since,2022-04-26 00:00:00
