,ALGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.14,61.36,Valuation,0.4911994784876141
Price/Sales (TTM),3.94,9.8,Valuation,0.4020408163265306
Price/Book (MRQ),4.12,10.31,Valuation,0.3996120271580989
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7144,0.6196,Profitability,1.1530019367333764
Operating Profit Margin (TTM),0.1943,0.047,Profitability,4.134042553191489
Net Profit Margin (TTM),0.1322,0.009300000000000001,Profitability,14.21505376344086
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.353,-0.4858,Gowth rates,0.7266364759160148
EPS Growth (TTM),-0.3048,-0.2029,Gowth rates,1.5022178413011336
Revenue Growth (MRQ),-0.0817,0.1161,Gowth rates,-0.7037037037037037
Revenue Growth (TTM),0.0288,0.18300000000000002,Gowth rates,0.15737704918032785
Return On Equity (TTM),0.1417,0.1068,Effectiveness,1.3267790262172283
Return On Assets (TTM),0.0883,0.0622,Effectiveness,1.419614147909968
Return On Investment (TTM),0.1283,0.0732,Effectiveness,1.7527322404371584
Revenue Per Employee (TTM),171438.0,403586.0,Effectiveness,0.42478678645939155
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),1.2,2.25,Financial strength,0.5333333333333333
Interest Coverage (MRQ),,14.99,Financial strength,
