,TREX
% Above Low,0.1101
% Held by Institutions,0.9659
52-Wk Range,['38.68 - 140.98']
Annual Dividend $,
Annual Dividend %,
Ask,43.48
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,42.63
Bid Size,100.0
Change Since Close,-0.14| |(-0.33%)
Closing Price,42.94
Day Change $,-3.32
Day Change %,-0.0718
Day High,45.76
Day Low,42.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.75
Ex-dividend Date,No dividend
Historical Volatility,0.5970000000000001
Last (size),20.0
Last (time),7:00p ET 11/28/22
Last Trade,42.8
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.4
Prev Close,46.26
Short Interest,0.07139999999999999
Today's Open,45.45
Volume,1143549.0
Volume 10-day Avg,1245055.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.16746411483253587
Growth 1yr High Est,-0.16822429906542058
Growth 1yr Consensus Est,-0.16784420694897823
Growth 2yr Low Est,-0.20154814937029092
Growth 2yr High Est,0.022629423500997614
Growth 2yr Consensus Est,-0.08945936293464665
Growth 5yr Low Est,-0.09787840164799816
Growth 5yr High Est,0.00984133502728865
Growth 5yr Consensus Est,-0.044018533310354754
Growth 5yr Actual/Est,0.08782447907174534
Growth 3yr Historic,0.15838709677419355
Price/Earnings (TTM),26.40275
Price/Sales (TTM),4.1682
Price/Book (MRQ),9.13285
Price/Cash Flow (TTM),20.87436
5yr Low,25.36
5yr High,140.98
5yr Avg Return,0.22204999999999997
EPS Growth 5yr,0.2577861
Revenue Growth 5yr,0.2007058
Dividend Growth 5yr,
Short Int Current Month,7790322.0
Short Int Prev Month,8877117.0
Short Int Pct of Float,0.0713612
Days to Cover,3.84239
Float,109.1815
Shares Outstanding,109.7384
Institutions Holding Shares,589.0
FCF Growth 5yr,0.33952629143649604
"Price/Earnings (TTM, GAAP)",26.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.375
Operating Profit Margin (TTM),0.21559999999999999
Net Profit Margin (TTM),0.16390000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8334
EPS Growth (TTM),-0.106
Revenue Growth (MRQ),-0.512
Revenue Growth (TTM),0.0862
Return On Equity (TTM),0.3125
Return On Assets (TTM),0.2223
Return On Investment (TTM),0.2737
Revenue Per Employee (TTM),587228.0
Total Debt/Total Capital (MRQ),0.1202
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-03-01 00:00:00
theStreet since,2022-03-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-02 00:00:00
ford since,2022-03-04 00:00:00
marketEdge opinion since,
