,TREX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.4,13.91,Valuation,1.897915168943206
Price/Sales (TTM),4.17,1.88,Valuation,2.2180851063829787
Price/Book (MRQ),9.13,3.87,Valuation,2.359173126614987
"PEG Ratio (TTM, GAAP)",,0.02,Valuation,
Gross Profit Margin (TTM),0.375,0.31260000000000004,Profitability,1.1996161228406907
Operating Profit Margin (TTM),0.21559999999999999,0.1429,Profitability,1.5087473757872638
Net Profit Margin (TTM),0.16390000000000002,0.1072,Profitability,1.5289179104477613
Annual Dividend Yield,,0.0134,Dividend,
Dividend Change %,,0.2683,Dividend,
"Dividend Growth Rate, 3 Years",,0.0895,Dividend,
EPS Growth (MRQ),-0.8334,0.5653,Gowth rates,-1.4742614540951706
EPS Growth (TTM),-0.106,7.5147,Gowth rates,-0.01410568618840406
Revenue Growth (MRQ),-0.512,0.1259,Gowth rates,-4.066719618745036
Revenue Growth (TTM),0.0862,0.20510000000000003,Gowth rates,0.4202827888834714
Return On Equity (TTM),0.3125,0.254,Effectiveness,1.2303149606299213
Return On Assets (TTM),0.2223,0.0326,Effectiveness,6.819018404907976
Return On Investment (TTM),0.2737,0.1543,Effectiveness,1.7738172391445237
Revenue Per Employee (TTM),587228.0,403228.0,Effectiveness,1.4563175176327041
Total Debt/Total Capital (MRQ),0.1202,0.4794,Financial strength,0.25073007926574886
Change in Debt/Total Capital Quarter over Quarter,,0.0029,Financial strength,
Quick Ratio (MRQ),0.63,1.11,Financial strength,0.5675675675675675
Interest Coverage (MRQ),,10.87,Financial strength,
