,DTM
% Below High,0.021400000000000002
% Held by Institutions,0.8301000000000001
52-Wk Range,['44.70 - 61.12']
Annual Dividend $,2.56
Annual Dividend %,0.042800000000000005
Ask,64.23
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,53.95
Bid Size,100.0
Closing Price,59.81
Day Change $,0.49
Day Change %,0.0083
Day High,60.57
Day Low,59.43
Dividend Pay Date,2022-10-15 00:00:00
"EPS (TTM, GAAP)",3.84
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.313
Last (size),1200.0
Last (time),5:00p ET 11/25/22
Market Cap,5.8B
"P/E Ratio (TTM, GAAP)",15.6
Prev Close,59.32
Short Interest,0.0242
Today's Open,59.43
Volume,276218.0
Volume 10-day Avg,630031.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.22108843537414957
Growth 1yr High Est,0.13428571428571434
Growth 1yr Consensus Est,0.17768707482993196
Growth 2yr Low Est,0.10358042938623918
Growth 2yr High Est,0.07469953220582948
Growth 2yr Consensus Est,0.08913998079603433
Growth 5yr Low Est,0.10358042938623918
Growth 5yr High Est,0.07469953220582948
Growth 5yr Consensus Est,0.08913998079603433
Growth 5yr Actual/Est,0.09468776371308008
Growth 3yr Historic,0.0
Price/Earnings (TTM),15.59579
Price/Sales (TTM),6.42964
Price/Book (MRQ),1.45467
Price/Cash Flow (TTM),10.50213
5yr Low,38.21
5yr High,61.12
5yr Avg Return,0.19884999999999997
Short Int Current Month,2341499.0
Short Int Prev Month,2314305.0
Short Int Pct of Float,0.024224000000000002
Days to Cover,4.76538
Float,96.67975
Shares Outstanding,96.75098
Institutions Holding Shares,495.0
FCF Growth 5yr,0.0823477943156032
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",15.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5244
Net Profit Margin (TTM),0.42560000000000003
Annual Dividend Yield,0.042800000000000005
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.24300000000000002
EPS Growth (TTM),0.2851
Revenue Growth (MRQ),0.0352
Revenue Growth (TTM),0.0909
Return On Equity (TTM),0.09519999999999999
Return On Assets (TTM),0.0463
Return On Investment (TTM),0.048499999999999995
Revenue Per Employee (TTM),3214286.0
Total Debt/Total Capital (MRQ),0.4257
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-08-16 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-08-16 00:00:00
marketEdge opinion since,
