,HSII
% Above Low,0.2839
% Held by Institutions,0.91
52-Wk Range,['22.79 - 46.85']
Annual Dividend $,0.6
Annual Dividend %,0.020499999999999997
Ask,46.8
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,26.0
Bid Size,100.0
Closing Price,29.26
Day Change $,0.26
Day Change %,0.009000000000000001
Day High,29.3
Day Low,28.8
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",3.72
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.40299999999999997
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,581.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.86
Prev Close,29.0
Short Interest,0.0176
Today's Open,28.8
Volume,76781.0
Volume 10-day Avg,84179.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.5702127659574467
Growth 1yr High Est,0.5555555555555554
Growth 1yr Consensus Est,0.562884160756501
Growth 2yr Low Est,0.07372426915758518
Growth 2yr High Est,0.22751322751322745
Growth 2yr Consensus Est,0.1506187483354063
Growth 5yr Low Est,0.03686213457879259
Growth 5yr High Est,0.11375661375661372
Growth 5yr Consensus Est,0.07530937416770316
Growth 5yr Actual/Est,0.16125934999554406
Growth 3yr Historic,0.24652189265536723
Price/Earnings (TTM),7.86394
Price/Sales (TTM),0.51331
Price/Book (MRQ),1.51125
Price/Cash Flow (TTM),6.69928
5yr Low,17.99
5yr High,50.03
5yr Avg Return,0.0577
EPS Growth 5yr,0.3459183
Revenue Growth 5yr,0.1091024
Dividend Growth 5yr,0.0290337
Short Int Current Month,343702.0
Short Int Prev Month,385829.0
Short Int Pct of Float,0.0176325
Days to Cover,3.6349
Float,19.53945
Shares Outstanding,19.86063
Institutions Holding Shares,244.0
FCF Growth 5yr,-1.0105725821524298
"Price/Earnings (TTM, GAAP)",7.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9293000000000001
Operating Profit Margin (TTM),0.09630000000000001
Net Profit Margin (TTM),0.0671
Annual Dividend Yield,0.020499999999999997
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0489
EPS Growth (MRQ),-0.1418
EPS Growth (TTM),0.1399
Revenue Growth (MRQ),-0.1423
Revenue Growth (TTM),0.28140000000000004
Return On Equity (TTM),0.2145
Return On Assets (TTM),0.0751
Return On Investment (TTM),0.1408
Revenue Per Employee (TTM),613277.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-06-15 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
