,OCFC
% Below High,0.0355
% Held by Institutions,0.7156999999999999
52-Wk Range,['18.24 - 24.25']
Annual Dividend $,0.8
Annual Dividend %,0.0342
Ask,29.93
Ask Size,100.0
Ask close,28.93
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,18.9
Bid Size,100.0
Bid close,17.98
Change Since Close,0.00| |(0.00%)
Closing Price,23.39
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.9
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.244
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,23.39
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.31
Prev Close,23.39
Short Interest,0.018799999999999997
Today's Open,
Volume,1.0
Volume 10-day Avg,244964.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2681564245810055
Growth 1yr High Est,0.2540540540540539
Growth 1yr Consensus Est,0.2611052393175297
Growth 2yr Low Est,0.1671178598675953
Growth 2yr High Est,0.24125116495806154
Growth 2yr Consensus Est,0.20418451241282842
Growth 5yr Low Est,0.11011149103188939
Growth 5yr High Est,0.14237643979803052
Growth 5yr Consensus Est,0.12624396541495997
Growth 5yr Actual/Est,0.12515773297320912
Growth 3yr Historic,0.032427536231884074
Price/Earnings (TTM),12.30813
Price/Sales (TTM),3.52413
Price/Book (MRQ),0.89865
Price/Cash Flow (TTM),10.68919
5yr Low,11.6
5yr High,30.9
5yr Avg Return,-0.0142
EPS Growth 5yr,0.1266266
Revenue Growth 5yr,0.2072053
Dividend Growth 5yr,0.04718410000000001
Short Int Current Month,1078782.0
Short Int Prev Month,1263198.0
Short Int Pct of Float,0.0187976
Days to Cover,3.90231
Float,57.44299
Shares Outstanding,59.14153
Institutions Holding Shares,249.0
FCF Growth 5yr,0.45972247001685
"Price/Earnings (TTM, GAAP)",12.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3821
Net Profit Margin (TTM),0.2973
Annual Dividend Yield,0.0342
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0313
EPS Growth (MRQ),0.3496
EPS Growth (TTM),-0.022000000000000002
Revenue Growth (MRQ),0.1115
Revenue Growth (TTM),0.1247
Return On Equity (TTM),0.0734
Return On Assets (TTM),0.0095
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-02-01 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
