,NAT
% Below High,0.1066
% Held by Institutions,0.36090000000000005
52-Wk Range,['1.40 - 3.94']
Annual Dividend $,0.12
Annual Dividend %,0.0341
Ask,3.56
Ask Size,2000.0
B/A Ratio,0.6
B/A Size,1200x2000
Beta,0.2
Bid,3.5
Bid Size,1200.0
Change Since Close,0.01| |(0.28%)
Closing Price,3.52
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",-0.84
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.812
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,3.53
Market Cap,737.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.52
Short Interest,0.046799999999999994
Today's Open,
Volume,3854.0
Volume 10-day Avg,5763463.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-1.34375
Growth 1yr High Est,-0.8863636363636364
Growth 1yr Consensus Est,-1.1150568181818181
Growth 2yr Low Est,-1.5809659090909092
Growth 2yr High Est,5.256818181818181
Growth 2yr Consensus Est,1.8379261363636359
Growth 5yr Low Est,-1.0539772727272727
Growth 5yr High Est,3.504545454545454
Growth 5yr Consensus Est,1.2252840909090905
Growth 5yr Actual/Est,-5.407443114231994
Growth 3yr Historic,-2.2510504201680672
Price/Earnings (TTM),
Price/Sales (TTM),3.57148
Price/Book (MRQ),1.43862
Price/Cash Flow (TTM),
5yr Low,1.4
5yr High,9.0
5yr Avg Return,0.18721666666666664
EPS Growth 5yr,
Revenue Growth 5yr,-0.1177382
Dividend Growth 5yr,-0.46508330000000003
Short Int Current Month,9501954.0
Short Int Prev Month,11371187.0
Short Int Pct of Float,0.0467948
Days to Cover,2.12245
Float,203.0558
Shares Outstanding,208.7964
Institutions Holding Shares,196.0
FCF Growth 5yr,-0.0012244101560775489
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.051100000000000007
Operating Profit Margin (TTM),-0.5993
Net Profit Margin (TTM),-0.7219
Annual Dividend Yield,0.034100000000000005
Dividend Change %,-0.8667
"Dividend Growth Rate, 3 Years",-0.0501
EPS Growth (MRQ),0.8606999999999999
EPS Growth (TTM),-0.425
Revenue Growth (MRQ),1.2389000000000001
Revenue Growth (TTM),0.5193
Return On Equity (TTM),-0.2807
Return On Assets (TTM),-0.1625
Return On Investment (TTM),-0.17500000000000002
Revenue Per Employee (TTM),10830900.0
Total Debt/Total Capital (MRQ),0.4169
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.14
Interest Coverage (MRQ),0.32
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-31 00:00:00
theStreet since,2022-10-31 00:00:00
ford since,2021-11-26 00:00:00
cfra since,
marketEdge opinion since,
