,SWN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.22,9.13,Valuation,0.5717415115005475
Price/Sales (TTM),0.54,7.57,Valuation,0.071334214002642
Price/Book (MRQ),5.59,4.65,Valuation,1.2021505376344084
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.7108,0.35119999999999996,Profitability,2.0239179954441915
Operating Profit Margin (TTM),0.49479999999999996,0.192,Profitability,2.577083333333333
Net Profit Margin (TTM),0.0898,0.0358,Profitability,2.5083798882681565
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.6144,2.3421000000000003,Gowth rates,-0.2623286793902907
EPS Growth (TTM),1.4177000000000002,7.2215,Gowth rates,0.19631655473239634
Revenue Growth (MRQ),0.0974,0.7168000000000001,Gowth rates,0.1358816964285714
Revenue Growth (TTM),2.2383,47.807,Gowth rates,0.046819503420001254
Return On Equity (TTM),2.3209,0.3993,Effectiveness,5.812421738041573
Return On Assets (TTM),0.11720000000000001,0.15810000000000002,Effectiveness,0.7413029728020241
Return On Investment (TTM),0.2056,0.2237,Effectiveness,0.9190880643719267
Revenue Per Employee (TTM),15531980.0,7554984.0,Effectiveness,2.055858754962287
Total Debt/Total Capital (MRQ),0.7746,0.3658,Financial strength,2.117550574084199
Change in Debt/Total Capital Quarter over Quarter,-0.0019,-0.002,Financial strength,0.95
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),1.24,13.28,Financial strength,0.09337349397590362
