,SWN
Price/Earnings (TTM),5.21801
Price/Sales (TTM),0.54236
Price/Book (MRQ),5.58778
Price/Cash Flow (TTM),3.31722
5yr Low,1.06
5yr High,9.87
5yr Avg Return,0.06851666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.2230681
Dividend Growth 5yr,
Short Int Current Month,53857549.0
Short Int Prev Month,54555562.0
Short Int Pct of Float,0.0518809
Days to Cover,1.93701
Float,1098.029
Shares Outstanding,1103.579
Institutions Holding Shares,553.0
% Held by Institutions,0.827852
FCF Growth 5yr,0.26907415455368383
