,DVAX
% Above Low,0.6997
% Held by Institutions,0.8658
52-Wk Range,['7.26 - 17.48']
Annual Dividend $,
Annual Dividend %,
Ask,12.61
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.3
Bid,12.35
Bid Size,600.0
Closing Price,12.34
Day Change $,-0.29
Day Change %,-0.023
Day High,12.61
Day Low,12.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.01
Ex-dividend Date,No dividend
Historical Volatility,0.66
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.15
Prev Close,12.63
Short Interest,0.12359999999999999
Today's Open,12.45
Volume,502675.0
Volume 10-day Avg,1648786.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.5116279069767442
Growth 2yr High Est,-1.1808510638297873
Growth 2yr Consensus Est,-1.3462394854032658
Growth 5yr Low Est,-1.5116279069767442
Growth 5yr High Est,-1.1808510638297873
Growth 5yr Consensus Est,-1.3462394854032658
Growth 5yr Actual/Est,-0.39983187134502907
Growth 3yr Historic,-0.6031944444444444
Price/Earnings (TTM),6.15388
Price/Sales (TTM),2.14712
Price/Book (MRQ),3.14507
Price/Cash Flow (TTM),4.7826
5yr Low,1.8
5yr High,22.8
5yr Avg Return,0.14946666666666666
EPS Growth 5yr,
Revenue Growth 5yr,1.089118
Dividend Growth 5yr,
Short Int Current Month,15733444.0
Short Int Prev Month,14400055.0
Short Int Pct of Float,0.1236308
Days to Cover,7.53078
Float,127.2159
Shares Outstanding,127.5849
Institutions Holding Shares,305.0
FCF Growth 5yr,-1.0025816931586686
"Price/Earnings (TTM, GAAP)",6.15
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6472
Operating Profit Margin (TTM),0.4106
Net Profit Margin (TTM),0.4435
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5098
EPS Growth (TTM),6.9327
Revenue Growth (MRQ),-0.34600000000000003
Revenue Growth (TTM),1.7783000000000002
Return On Equity (TTM),1.1287
Return On Assets (TTM),0.33890000000000003
Return On Investment (TTM),0.5675
Revenue Per Employee (TTM),2357753.0
Total Debt/Total Capital (MRQ),0.3066
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),3.4
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-07 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-09-02 00:00:00
