,DVAX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.15,471.78,Valuation,0.013035736996057486
Price/Sales (TTM),2.15,45.03,Valuation,0.047745947146346876
Price/Book (MRQ),3.15,12.61,Valuation,0.24980174464710547
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.6472,0.5874,Profitability,1.1018045624787196
Operating Profit Margin (TTM),0.4106,-4.7459,Profitability,-0.08651678290735161
Net Profit Margin (TTM),0.4435,-4.5467,Profitability,-0.09754327314315876
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.5098,-0.0014000000000000002,Gowth rates,364.1428571428571
EPS Growth (TTM),6.9327,0.027200000000000002,Gowth rates,254.8786764705882
Revenue Growth (MRQ),-0.34600000000000003,1.3963999999999999,Gowth rates,-0.2477800057290175
Revenue Growth (TTM),1.7783000000000002,0.9747,Gowth rates,1.8244588078383095
Return On Equity (TTM),1.1287,0.1967,Effectiveness,5.738179969496695
Return On Assets (TTM),0.33890000000000003,0.0016,Effectiveness,211.8125
Return On Investment (TTM),0.5675,0.0219,Effectiveness,25.91324200913242
Revenue Per Employee (TTM),2357753.0,1476201.0,Effectiveness,1.5971761298088811
Total Debt/Total Capital (MRQ),0.3066,0.4675,Financial strength,0.6558288770053475
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0036,Financial strength,-0.22222222222222224
Quick Ratio (MRQ),3.4,2.06,Financial strength,1.6504854368932038
Interest Coverage (MRQ),,2.69,Financial strength,
